policy_id,country_iso,country_update,policy_name,policy_title,jurisdiction,supranational_region,country,subnational_region,policy_city_or_local,policy_instrument,sector,policy_description,policy_type,stringency,policy_status,decision_date,start_date,end_date,high_impact,policy_objective,reference,last_update,impact_indicators.comments,impact_indicators.name,impact_indicators.value,impact_indicators.base_year,impact_indicators.target_year
211000015,CHN,Annual,"10th five-year plan for economic and social development China (2001)","10th five-year plan for economic and social development",Country,,China,,,"Strategic planning, Renewable energy target",General,"The Tenth Five-Year Plan emphasizes the commercialization of PV and wind technologies, diesel and battery systems, bioelectricity, geothermal energy, and fuel forests in rural areas.
-Inclusive of small hydropower, wind, and solar energy projects
-Wind farms are planned for Xinjiang, Inner Mongolia, Hebei, Jilin, Liaoning, Hubei, and Guangdong provinces with a combined capacity of 500 MW.
-Electricity production goals: Reach 13 metric tons of coal equivalent (Mtce) of electricity using new and renewable energy (excluding small hydropower and traditional use of biomass), with corresponding CO2 reduction of 10 metric tons (Mt) and SO2 reduction of at least 0.6 Mt.
-Remote power: Provide power for 1.3 million families (5-6 million people) in remote areas, and provide employment for 200,000 people.
-Solar water heating: Increase annual solar water heating to 11 million square meters (m2), with the cumulative amount of 64 million m2. There will be 5-10 large-scale enterprises with internationally competitive ability.
-Solar electricity: Increase production capacity of solar cells to 15 megawatts (MW) each, with a cumulative capacity of 53 MW.
-Wind power: Increase installed capacity of grid-connected wind power to 1.2 gigawatts, with manufacturing capacity at 150-200 MW to meet domestic market demand.
-Geothermal energy: Increase the production of geothermal energy to 20 million m2.
-Bioenergy: Increase gas supplies from highly efficient bioenergy, including large- and mid-scale biogas from industrial organic waste water, farm waste, and biomass gasification systems to almost two billion m3.","Energy service demand reduction and resource efficiency, Energy efficiency, Renewables, Other low-carbon technologies and fuel switch, Non-energy use",,Ended,2001,,2005,Unknown,Mitigation,http://www.china.org.cn/english/8449.htm,,,,,,
211000016,FRA,Sporadic,"12-month Amortisation Law Extension France (1999)","12-month Amortisation Law Extension",Country,,France,,,"Grants and subsidies, Fiscal or financial incentives","Buildings, Appliances, Industry",,"Energy efficiency, Energy service demand reduction and resource efficiency",,Superseded,1999,,,Unknown,Mitigation,https://www.iea.org/policies/310-12-month-amortisation-law-extension?country=France&page=4&qs=france&year=desc,,,,,,
211000017,CHN,Annual,"12th Five Year Plan for National Strategic Emerging Industries China (2012)","12th Five Year Plan for National Strategic Emerging Industries",Country,,China,,,"Strategic planning, Technology development, Renewable energy target","Electricity and heat, Nuclear, Renewables",,"Renewables, Other low-carbon technologies and fuel switch",,Ended,2012,,2017,Unknown,Mitigation,https://www.iea.org/policies/5474-12th-five-year-plan-for-national-strategic-emerging-industries?q=12th%20Five%20Year%20Plan%20for%20National%20Strategic%20Emerging%20Industries&s=1,,,,,,
211000018,CHN,Annual,"12th Five-Year Plan for the Development of National Economy and Society China (2011)","12th Five-Year Plan for the Development of National Economy and Society",Country,,China,,,"Energy efficiency target, Formal & legally binding energy efficiency target, GHG reduction target, Formal & legally binding GHG reduction target, Renewable energy target, Formal & legally binding renewable energy target, Climate strategy, Formal & legally binding climate strategy",General,"Decrease the carbon intensity of GDP by 17% by 2015; to decrease the energy intensity of GDP by 16%; to increase the share of non-fossil fuel primary energy consumption to 11.4%; and to increase forest coverage by 21.6%.
Additional capacity of 70 GW from 6 onshore and 2 offshore wind parks planned. 12th FYP also includes plan to set up 1,000 “solar energy model villages” (http://ghs.ndrc.gov.cn/ghwb/gjwngh/201109/P020110919590835399263.pdf page 21 bullet point 8)as well as the idea to in Tibet, Inner Mongolia, Gansu, Ningxia, Qinghai, Xinjiang, Yunnan and other provinces, focus on the completion of more than 5 million kilowatts of solar power plants (page 30, point 4). According to http://www.kreab.com/wp-content/uploads/sites/17/2013/07/FYP-for-Energy-Development.pdf, also contains plan to raise solar generation capacity to 21 GW (from less than 1 GW in 2010).","Energy service demand reduction and resource efficiency, Energy efficiency, Renewables, Non-energy use, Other low-carbon technologies and fuel switch",,Superseded,2011,,2015,Unknown,Mitigation,http://english.www.gov.cn/12thFiveYearPlan/,,,,,,
211000019,CHN,Annual,"13th Five Year Plan for Energy Development China (2016)","13th Five Year Plan for Energy Development",Country,,China,,,"Formal & legally binding GHG reduction target, Formal & legally binding renewable energy target",General,"Targets by 2020:
Share of non-fossil fuels in primary energy consumption above 15% (was 15% before)
Installed nuclear power capacity 58GW + 30 GW uder construction capacity
Installed hydropower capacity 340 GW + 39.49 GW (pumped storage)
Installed wind power capacity 210 GW
Installed biomass power capacity 15 GW
Installed solar PV power capacity 105 GW of solar power, a
Installed solar thermal power capacity 5 GW
Installed coal power capacity within 1100 GW
Coal consumption cap 4.1 Gt coal/year
Share of coal in primary energy mix below 58%
Average consumption of newly built coal power plants 300gce/kWh","Energy efficiency, Renewables, Other low-carbon technologies and fuel switch",,Ended,2016,2016,2020,High,Mitigation,https://policy.asiapacificenergy.org/node/2918,,"Cap on coal consumption (EJ/year), Average raw coal consumption (Gt/year), Share of non-fossil energy in TPES (%), Coal power plant efficiency standard (%), Electricity capacity nuclear (MW), Electricity capacity hydro (MW), Electricity capacity wind (MW), Electricity capacity biomass (MW), Electricity capacity solar PV (MW), Electricity capacity solar thermal (MW)","Energy efficiency improvement target (%), Energy efficiency improvement target (%), Share of renewables (%), Energy efficiency improvement target (%), Capacity of renewables (MW), Capacity of renewables (MW), Capacity of renewables (MW), Capacity of renewables (MW), Capacity of renewables (MW), Capacity of renewables (MW)","120.2, 4.1, 15, 40, 58000, 340000, 210000, 15000, 105000, 5000",", , , , , , , , ,","2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020"
211000020,CHN,Annual,"13th Five-Year Plan (2016-2020) China (2015)","13th Five-Year Plan (2016-2020)",Country,,China,,,"Strategic planning, Target, Energy efficiency target, GHG reduction target, Renewable energy target, Formal & legally binding climate strategy, Formal & legally binding energy efficiency target, Formal & legally binding GHG reduction target, Formal & legally binding renewable energy target",General,"The objective of highest priority of the plan is economic development, aiming for an average annual increase in GDP of 6.5-7%. However, the plan also addresses a series of environmental issues, setting targets for GHG emissions, air pollution, energy and water consumption, as well as an update and removal of old technologies and industries.
Reduce carbon intensity by 18% by 2020, as compared to 2015. The Plan assigns the responsibility of developing the national carbon trading scheme, to be launched in 2018, to the Government. Coal is capped at 5 billion metric tons per year in 2020.
""increase the share of non-fossil fuel energy to 15 percent by 2020; ban commercial logging in natural forests."" (http://www.apcoworldwide.com/docs/default-source/default-document-library/Thought-Leadership/13-five-year-plan-think-piece.pdf?sfvrsn=2) It also aims to increase forest coverage to 23.04% (http://www.lse.ac.uk/GranthamInstitute/law/13th-five-year-plan/)
One of the aims of the plan with regard to air pollution is to maintain acceptable air quality levels for 80% of the year by 2020. As an action towards achieving air quality improvements, China aims to remove 4 million high-emissions vehicles that are currently on the roads. Subsidies and tax breaks to support new technologies are already in place and will continue to be.
Aims to lift 70 million people out of poverty by 2020 (all population currently below the poverty line of annual income 2300 yuan per year) (http://www.apcoworldwide.com/docs/default-source/default-document-library/Thought-Leadership/13-five-year-plan-think-piece.pdf?sfvrsn=2)
""Reduction of water consumption by 35% by 2020 as compared with 2013 (which is consistent with the target in the Water Pollution Prevention and Control Action Plan)"" (http://www.kwm.com/en/au/knowledge/insights/china-13th-5-year-plan-environment-sustainability-initiatives-20160414)
Aims to have 15% energy intensity reduction in 2020 compared to 2015.
According to WRI (2016) the included carbon intensity target will decrease by almost 50% by 2020 compared to 2005.
Ratified by National People's Congress in March 2016 (https://www.uscc.gov/sites/default/files/Research/The%2013th%20Five-Year%20Plan.pdf) IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]","Energy service demand reduction and resource efficiency, Energy efficiency, Non-energy use",,Ended,2015,2016,2020,High,"Mitigation, Air pollution, Food security, Water, Economic development",https://www.iea.org/policies/3-the-13th-five-year-plan-for-economic-and-social-development-of-the-peoples-republic-of-china-2016-2020?q=china%2013th&s=1,,"Energy Intensity of GDP reduction (%), CO2 intensity of GDP reduction (%), Cap on primary energy consumption (EJ), Cap on primary energy consumption (gtce/year), Forest coverage area (%), Forest coverage area (ha), Forest coverage area (m3)","Energy intensity per GDP improvement target (%), GHG intensity per GDP target (gCO2eq/US$), Energy efficiency improvement target (%), Energy efficiency improvement target (%), Afforested/Reforested area (ha/year), Afforested/Reforested area (ha/year), Afforested/Reforested area (ha/year)","18, 15, 146.5, 5, 23.04, 221000000, 16500000000","2015, 2015, , , , ,","2020, 2020, 2020, 2020, 2020, 2020, 2020"
211000021,USA,Annual,"18Seconds.org United States of America (2007)",18Seconds.org,Country,,"United States of America",,,"Information and education, Advice or aid in implementation, Information provision, Comparison label, Endorsement label, Voluntary approaches, Unilateral commitments (private sector)","Buildings, Appliances",,"Energy efficiency",,Ended,2007,,,Unknown,Mitigation,https://www.somewhatfrank.com/2007/03/18secondsorg_to.html,,,,,,
211000022,AUS,Annual,"20 Million Trees Australia (2014)","20 Million Trees",Country,,Australia,,,"Direct investment","Agriculture and forestry, Forestry","""The Australian Government will work with the community to plant 20 million trees by 2020, to re-establish green corridors and urban forests. The 20 Million Trees Programme is part of the national stream of the National Landcare Programme. Under the 20 Million Trees Programme $42.88million (GST exclusive) has been announced across 166 projects to plant more than 13.5 million trees (as at 8 March 2016).""","Energy service demand reduction and resource efficiency, Non-energy use, Energy efficiency, Renewables, Other low-carbon technologies and fuel switch",,Ended,2014,,2020,High,"Land use, Mitigation",http://www.nrm.gov.au/national/20-million-trees,,"Afforested/Reforested area (ha)","Afforested/Reforested area (ha/year)",20000,,2020
211000023,IND,Annual,"20 point Programme India (1986)","20 point Programme",Country,,India,,,"Strategic planning",General,"""The TPP further restructured in 2006 had following Points: Poverty eradication power to people Support to farmers Labour welfare Food security Clean drinking water Housing for all Health for all Education for all Welfare of SC/ ST/ OBC and minorities Women welfare Child welfare Youth Development Improvement of slums Environment protection and afforestation Social security Rural Roads Energising of rural areas Development of Backward areas IT enabled and e-governance"" (http://www.gktoday.in/twenty-point-programme_22/)","Energy service demand reduction and resource efficiency, Non-energy use",,"In force",1986,,,Unknown,"Economic development",http://mospi.nic.in/twenty-point-programme/archived-twenty-point-programme-1986,,,,,,
211000025,FRA,Sporadic,"Thermal Regulation France (2000)","Thermal Regulation",Country,,France,,,"Codes and standards","Buildings, Heating and cooling",,"Energy efficiency",,Ended,2000,,,Unknown,Mitigation,https://www.iea.org/policies/1521-2000-thermal-regulation?country=France&page=4&qs=france,,,,,,
211000026,GBR,Annual,"National Energy Efficiency Action Plan United Kingdom (2007)","National Energy Efficiency Action Plan",Country,,"United Kingdom",,,"Strategic planning",General,,"Energy efficiency",,Superseded,2007,,,Unknown,Mitigation,https://webarchive.nationalarchives.gov.uk/ukgwa/20080211230329/http://www.defra.gov.uk/environment/climatechange/uk/energy/efficiency.htm,,,,,,
211000027,DEU,Annual,"Amendment of the Renewable Energy Sources Act -EEG- Germany (2009)","Amendment of the Renewable Energy Sources Act -EEG-",Country,,Germany,,,"Feed-in tariffs or premiums, Policy support","Electricity and heat, Industry, Waste CH4, Fossil fuel exploration and production, Renewables",,"Renewables, Non-energy use",,Superseded,2009,,,Unknown,Mitigation,https://www.iea.org/policies/4653-2009-amendment-of-the-renewable-energy-sources-act-eeg-2009,,,,,,
211000028,CHN,Annual,"Biomass electricity Feed-in tariff China (2010)","Biomass electricity Feed-in tariff",Country,,China,,,"Strategic planning, Feed-in tariffs or premiums","Electricity and heat, Renewables",,Renewables,,"In force",2010,,,Unknown,Mitigation,https://www.iea.org/policies/4987-2010-biomass-electricity-feed-in-tariff,,,,,,
211000029,BRA,Annual,"10-year Plan for Energy Expansion Brazil (PDE - 2019)","10-year Plan for Energy Expansion",Country,,Brazil,,,"Infrastructure investments, Policy support, Strategic planning, Renewable energy target, Political & non-binding renewable energy target","Electricity and heat, Renewables","The latest PDE was published in November 2019. This report presents the Brazilian energy sector expansion for the next ten years. It is the most comprehensive plan for the energy sector in Brazil, providing detailed information on capacity additions for power generation, investments estimates and fuel production plans and demand projections.
PDE’s primary purpose is to indicate the prospects of expansion of the energy sector with a horizon of ten years, from the perspective of the Brazilian Government. PDE targets 40 GW wind, 16 GW biomass, 9 GW small hydropower and 104 GW large hydropower installed by 2029. It further targets 48% renewable share (36% excluding hydropower) in total primary energy supply by 2029, and 81% renewable share (34% excluding hydropower) in total electricity generation by 2029.
(February 2020)
 ","Other low-carbon technologies and fuel switch, Renewables",,"In force",2019,2020,2029,High,Mitigation,https://www.epe.gov.br/sites-pt/publicacoes-dados-abertos/publicacoes/PublicacoesArquivos/publicacao-422/PDE%202029.pdf,,"Share of renewables in electricity generation excl. Hydro (%), Share of renewables in electricity generation excl. Hydro (%), Electricity capacity Hydro (GW), Electricity capacity small hydro (GW), Electricity capacity bioenergy (GW), Electricity capacity solar (GW), Electricity capacity wind (GW), Share of renewables in TPES including hydro (%), Share of renewables in TPES excluding hydro (%), Share of bioenergy in TPES (%)","Share of renewables (%), Share of renewables (%), Capacity of renewables (MW), Capacity of renewables (MW), Capacity of renewables (MW), Capacity of renewables (MW), Capacity of renewables (MW), Share of renewables (%), Share of renewables (%), Share of renewables (%)","17, 22, 104.7, 9.96, 25.54, 20.44, 39.56, 48, 36, 17",", , , , , , , , ,","2024, 2029, 2029, 2029, 2029, 2029, 2029, 2029, 2029, 2029"
211000031,GBR,Annual,"National Energy Efficiency Action Plan United Kingdom (2011)","National Energy Efficiency Action Plan",Country,,"United Kingdom",,,"Strategic planning, Formal & legally binding energy efficiency target",General,"The UK's 2nd Energy Efficiency Action Plan (EEAP) brought together in one document all the then current and planned policies and measures the government and the Devolved Administrations have in place to improve energy efficiency. This updated the previous EEAP of 2007 and fulfilled the UK's obligation under the Energy End-Use Efficiency and Energy Services Directive (ESD) to report on progress towards an overall national indicative energy savings target of 9% by 2016. It was superseded by the 2014 Energy Efficiency Action Plan under the EU Energy Efficiency Directive (see separate entry). IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]","Energy efficiency",,Ended,2011,,,Unknown,Mitigation,https://www.iea.org/policies/757-2nd-national-energy-efficiency-action-plan?country=United%20Kingdom&page=2&qs=united,,,,,,
211000032,DEU,Annual,"Amendment of the Renewable Energy Sources Act -EEG- Germany (2012)","Amendment of the Renewable Energy Sources Act -EEG-",Country,,Germany,,,"Fiscal or financial incentives, Feed-in tariffs or premiums, Policy support","Electricity and heat, Renewables",,Renewables,,Superseded,2012,,,Unknown,Mitigation,https://www.bmwi.de/Redaktion/EN/Dossier/renewable-energy.html,,,,,,
211000033,CHN,Annual,"Renewable Energy Electricity feed-in tariff China (2012)","Renewable Energy Electricity feed-in tariff",Country,,China,,,"Feed-in tariffs or premiums","Electricity and heat, Renewables","Solar PV:
""The National Development and Reform Commission (NDRC) and the National Energy Administration (NEA) of China have revised feed-in tariffs (FiT) for solar power in 2016, reducing the rates:
- FiT tariffs in the Region I (western provinces suffering power restrictions, such as Ningxia, Qinghai and Xinjiang) will be cut by around 11% from Cyu 0.90/kWh in 2015 to Cyu 0.80/kWh in 2016 (from US$13.9c/kWh to US$12.3c/kWh);
- those in the Region II (Beijing, Tianjin and certain districts in Qinghai, Xinjiang and Gansu) will be reduced by 7.3%, from Cyu 0.95/kWh to Cyu 0.88/kWh in 2016 (from US$14.7c/kWh to US$13.6c/kWh);
- in the Region III (eastern China), FIT will decrease by 2%, from Cyu 1/kWh to Cyu 0.98/kWh (from US$15.4c/kWh to US$15.1c/kWh) in 2016.
Solar PV plants approved in 2015 and connected to the grid before 30 June 2016 will be eligible to benefit from the 2015 feed-in tariffs."" (http://www.enerdata.net/enerdatauk/press-and-publication/energy-news-001/china-revises-solar-and-wind-feed-tariffs-2016_35469.html)
Concerning offshore projects, the inter-tidal projects will enjoy a tariff of RMB 0.75 (USD 0.12) per kilowatt hour while the nearshore tariff will set at RMB 0.85 (USD 0.14)/kWh.
Onshore wind will feed-in tariffs will be between 0.47CNY/kWh and 0.6CNY/kWh depending on the region in which it is installed.",Renewables,,"In force",2012,,,High,Mitigation,https://www.iea.org/policies/5295-2012-renewable-energy-electricity-feed-in-tariff,,,,,,
211000034,CHN,Annual,"Green Building Action Plan China (2013)","Green Building Action Plan",Country,,China,,,"Policy support, Strategic planning, Target",Buildings,"Under China’s 2013 Green Building Action Plan, ""20% of all new buildings have to be green and that all newly built public buildings and affordable housing financed by the state have to be green certified"" by 2015. ""The 2-star and 3-star buildings will be eligible for state subsidies and local planning priorities. The local governments are required to develop their own action plans to at least be compatible with that of the central government."" (Zhou, 2015)","Energy efficiency",,"In force",2013,2013,,Unknown,Mitigation,http://www.gov.cn/zwgk/2013-01/06/content_2305793.htm,,,,,,
211000035,DEU,Annual,"Amendment of the Renewable Energy Sources Act -EEG- Germany (2014)","Amendment of the Renewable Energy Sources Act -EEG-",Country,,Germany,,,"Energy and other taxes, Feed-in tariffs or premiums, Strategic planning, Regulatory Instruments, Renewable energy target, Formal & legally binding renewable energy target","Electricity and heat, Renewables","The 2014 Amendment of the Renewable Energy Sources Act -EEG- entered into force on 1st of August 2014. The objective of the 2014 amendment to the EEG is to continue steady deployment of renewable energy in Germany in a cost efficient manner by integrating RES more to the market.
RES gross electricity consumption share is set to increase:
to 40%-45% by 2025
to 55% - 60% by 2035
to 80% by 2050",Renewables,,"In force",2014,,2035,Unknown,Mitigation,http://www.bmwi.de/EN/Topics/Energy/Renewable-Energy/2014-renewable-energy-sources-act.html,,"40%-45% by 2025 , 55% - 60% by 2035 share of renewables in the energy mix","Share of renewables (%), Share of renewables (%), Share of renewables (%)","40, 55, 80",", ,","2050, 2050, 2050"
