Policy,Country,Year,Status,Jurisdiction,policy_url,Topics,Type,Sectors,Technologies,LearnMore,Policy_Content,Source
(Manitoba) Mineral Strategy,Canada,2024,In force,State/Provincial,https://www.iea.org/policies/17950-manitoba-mineral-strategy,Critical Minerals,Strategic plans,,,https://www.manitoba.ca/iem/explore/files/criticalmineralfuture.pdf,"Manitoba's commitment to sustainable development in the minerals sector is incorporated in The Mines and Minerals Act. As part of this vision, the Department of Manitoba Innovation, Energy and Mines has drafted a set of provincial mineral policies from public and government input. The objectives of the strategy are:The Department has also implemented a land use program in order to meet the goals of the strategic plan. This program aims:Updated in November 2024, Manitoba's strategy is an active document with policies and programs that will set in motion the next phase of economic development. The province committed to:Key actions in the update include:",IEA
(Western Australia) Royalty relief for nickel,Australia,2024,In force,State/Provincial,https://www.iea.org/policies/20090-western-australia-royalty-relief-for-nickel,Critical Minerals,Public investment,,,https://www.wa.gov.au/government/media-statements/Cook-Labor-Government/Cook-Government-acting-to-protect-WA-nickel-industry-jobs-20240217,"In response to challenging conditions in the global market, the Western Australian government is offering royalty relief to the state's nickel industry in the form of an 18-month Nickel Financial Assistance Program beginning in March 2024. Producers may benefit from a 50% royalty rebate, repayable over a 24 month period, for quarters in which prices are below 20,000 USD per tonne. The Program aims to support local jobs and advance the State's vision of becoming a global battery minerals processing hub.",IEA
12th National Development Plan,Republic of Turkiye,2024,In force,National,https://www.iea.org/policies/26142-12th-national-development-plan,Economy-wide,Master Energy Plan,,,https://onikinciplan.sbb.gov.tr/wp-content/uploads/2023/11/On-Ikinci-Kalkinma-Plani_2024-2028.pdf,"The plan covers strategies to:(i) boost economic growth and stability;(ii) develop transportation, energy, and communication infrastructure;(iii) introduce initiatives to improve education, healthcare, and social welfare;(iv) introduce measures to protect the environment and promote sustainable practices; and(v) focus on innovation and technology to drive development.",IEA
2023 Emission Standards for Power Generation Units,Singapore,2024,In force,National,https://www.iea.org/policies/20358-2023-emission-standards-for-power-generation-units,Power,Facility or company emissions standards,,,https://www.ema.gov.sg/partnerships/consultations/2023/emission-standards-for-power-generation-units,"Singapore's Energy Market Authority enacted in 2023 its ""Final Determination on Emission Standards Framework for New and Repowered Fossil Fuel-fired Generation Units"", in order to facilitate the deployment of clean and efficient power generation units in Singapore.All new and repowered fossil fuel-fired plants should meet the Tier 1 emission standard of 0.355 tCO2e/MWh on an annual basis. Plants that are unable to meet Tier 1 standard can opt to be subject to an emissions limit under Tier 2, for which emissions allowance limit that is equivalent to a Tier 1 advanced CCGT but running at a Plant Load Factor of 50% on an annual basis.",IEA
2023 Energy Efficiency Standards for Air Conditioners and Heat Pumps,United States,2024,In force,National,https://www.iea.org/policies/11456-2023-energy-efficiency-standards-for-air-conditioners-and-heat-pumps,Buildings,Minimum Energy Performance Standards (MEPS),,,https://www.law.cornell.edu/cfr/text/10/430.32,The US Department Of Energy updated energy efficiency standards for room air conditioners and portable air cleaners in 2023.The new rules will come into effect in 2024 for air cleaners and 2026 for room air conditioners.,IEA
2024 Adjustment on import and export tariffs,People's Republic of China,2024,In force,National,https://www.iea.org/policies/19007-2024-adjustment-on-import-and-export-tariffs,Power,Tariffs and duties,,,https://www.gov.cn/yaowen/liebiao/202312/content_6922117.htm,"Starting from January 2024, China is implementing a reduction in import tariffs for 1,010 commodities, including lithium chloride, low-arsenic fluorspar, and gas diffusion layers for fuel cells.Import tariffs on some commodities, including ethylene, propylene, and LCD glass substrates below 6 generations have been increased.",IEA
2024 Amendment of the Renewable Energy Sources Act (Solar Package I),Germany,2024,In force,National,https://www.iea.org/policies/20805-2024-amendment-of-the-renewable-energy-sources-act-solar-package-i,Economy-wide,Master Energy Plan,,,https://www.bmwk.de/Redaktion/DE/Downloads/S-T/solarpaket-im-ueberblick.html,"The primary aim of the amendment of Renewable Energy Act (EEG) in 2024 is to remove obstacles to the expansion of solar energy and thus drive its expansion forward, in achieving the EEG target of installing a total capacity of 215 GW by 2030. Towards this target, annual expansion would be increased to 22 GW, half of which roof-mounted and half ground-mounted.",IEA
2024 Export Controls,People's Republic of China,2024,Announced,National,https://www.iea.org/policies/20245-2024-export-controls,Economy-wide,Non-tariff measures,,,http://www.mofcom.gov.cn/article/zwgk/gkzcfb/202405/20240503513396.shtml,"On 30 May 2024, the Chinese government implemented new restrictions of export, subjecting some items to export permission:Export licensing procedures apply, in accordance with relevant regulations.",IEA
2024 FY Budget for Clean Technologies,Japan,2024,In force,National,https://www.iea.org/policies/20244-2024-fy-budget-for-clean-technologies,Power;Transport,Government spending in low-carbon electricity;Government spending for low-emissions and efficient transport,,,https://www.meti.go.jp/main/yosan/yosan_fy2025/pr/pdf/pr_energy.pdf,"Japan has secured a 2024 FY annual budget to promote clean technologies and advance decarbonization. The budget is allocated for measures such as promoting technological advancement through research and development projects, and providing subsidies for companies deploying clean technologies in various areas, including:Besides this annual budget, the Japanese government has allocated funds for clean technology areas under different projects such as the Green Transformation and Green Innovation Fund.",IEA
2024 Fertilizer Import Tariff Quota,People's Republic of China,2024,In force,National,https://www.iea.org/policies/19010-2024-fertilizer-import-tariff-quota,,,,,http://www.mofcom.gov.cn/article/zcfb/zcblgg/202311/20231103451592.shtml,The Chinese Ministry of Commerce set up the total import tariff quota for chemical fertilizers at 13.65 million tons for in 2024. Different quotas and processes apply for state-owned companies and private sector ones.,IEA
2024 Government investment in energy efficiency support scheme,Norway,2024,In force,National,https://www.iea.org/policies/20247-2024-government-investment-in-energy-efficiency-support-scheme,Buildings,Government spending for energy-efficient buildings,,,https://www.regjeringen.no/no/aktuelt/oker-satsingen-pa-energieffektivisering/id2996989/,"The Norwegian government earmarked funding for consumer-oriented energy efficiency support schemes, as well as municipal buildings energy-efficient renovations.",IEA
2024 Import duty on Steel products,Republic of Turkiye,2024,In force,National,https://www.iea.org/policies/20421-2024-import-duty-on-steel-products,,,,,https://www.resmigazete.gov.tr/eskiler/2023/12/20231231-9-1.pdf,"In January 2024, Turkiye implemented increased import tariffs on flat iron and steel products, including alloyed galvanized sheets with a width of 600mm, hot-rolled sheets with a width of 600mm, 600mm cold-rolled sheet and stainless steel cold-rolled sheets.",IEA
2024 Investment Programs and Projects (PPI) - Electricity Networks,Mexico,2024,In force,National,https://www.iea.org/policies/19480-2024-investment-programs-and-projects-ppi-electricity-networks,Power,Government spending in electricity networks,,,https://www.pef.hacienda.gob.mx/work/models/btrnZkyc/PEF2024/rpdngkxq/docs/53/r53_tvv_pie.pdf,"In the framework of its Investment Programs and Projects (IPP), the Mexican government is allocating specific funding for the State-owned company to upgrade electricity network infrastructures.",IEA
2024 Investment Programs and Projects (PPI) - Energy efficiency,Mexico,2024,In force,National,https://www.iea.org/policies/19487-2024-investment-programs-and-projects-ppi-energy-efficiency,Industry,Government spending for energy efficiency and recycling,,,https://www.pef.hacienda.gob.mx/work/models/btrnZkyc/PEF2024/rpdngkxq/docs/53/r53_tvv_pie.pdf,"In the framework of its Investment Programs and Projects (IPP), the Mexican government is allocating specific funding to contribute to an efficient consumption of electric energy in the Electricity Federal Commission (CFE) buildings and production processes, through energy saving projects.",IEA
2024 Investment Programs and Projects (PPI) - Low-carbon electricity,Mexico,2024,In force,National,https://www.iea.org/policies/19481-2024-investment-programs-and-projects-ppi-low-carbon-electricity,Power,Government spending in low-carbon electricity,,,https://www.pef.hacienda.gob.mx/work/models/btrnZkyc/PEF2024/rpdngkxq/docs/53/r53_tvv_pie.pdf,"In the framework of its Investment Programs and Projects (IPP), the Mexican government is allocating specific funding for developing low-carbon electricity generation.",IEA
2024 Investment Programs and Projects (PPI) - Nuclear,Mexico,2024,In force,National,https://www.iea.org/policies/19486-2024-investment-programs-and-projects-ppi-nuclear,Power,Government spending in low-carbon electricity,,,https://www.pef.hacienda.gob.mx/work/models/btrnZkyc/PEF2024/rpdngkxq/docs/53/r53_tvv_pie.pdf,"In the framework of its Investment Programs and Projects (IPP), the Mexican government is allocating specific funding for modernising nuclear power plants.",IEA
2024 Investment Programs and Projects (PPI) related to the energy sector,Mexico,2024,In force,National,https://www.iea.org/policies/19479-2024-investment-programs-and-projects-ppi-related-to-the-energy-sector,Power,Government spending in low-carbon electricity,,,https://www.pef.hacienda.gob.mx/work/models/btrnZkyc/PEF2024/rpdngkxq/docs/53/r53_tvv_pie.pdf,"The Mexican government is allocating specific spending for the construction of strategic sector infrastructures, including electricity generation, transmission, energy access, and energy efficiency.",IEA
2024 National Investment Budget,Brazil,2024,In force,National,https://www.iea.org/policies/19991-2024-national-investment-budget,,,,,https://www.planalto.gov.br/ccivil_03/_ato2023-2026/2024/lei/Anexo/L14822-Volume6.pdf,"As part of Brazil's National Budget, the Orçamento de Investimento brings together projects on electricity generation, mineral fuels, and transport to be implemented in the country.",IEA
2024 Railway upgrade,Norway,2024,In force,National,https://www.iea.org/policies/20249-2024-railway-upgrade,Transport,Government spending in rail infrastructure,,,https://www.regjeringen.no/no/aktuelt/revidert-nasjonalbudsjett-2024-omdisponerer-145-milliardar-kroner-til-drift-vedlikehald-og-fornying-av-jernbanen/id3038928/,"In 2024, the Norwegian government earmarked investments for the upgrade of the domestic railway system, which will be managed by the Bane NOR agency.",IEA
2024 Solar rooftop and electricity network upgrade government investment Programme,Republic of Turkiye,2024,In force,National,https://www.iea.org/policies/20183-2024-solar-rooftop-and-electricity-network-upgrade-government-investment-programme,Power,Government spending in low-carbon electricity,,,https://www.sbb.gov.tr/wp-content/uploads/2024/01/2024-Yili-Yatirim-Programi-17012024.pdf,"Turkiye's government is investing in the following main energy infrastructure projects, starting in 2024:- 17.3 MW Solar rooftops installation,-New electricity transmission Lines, substations, and component-Hardware and Software development for the system, equipment & machinery, and GIS system for the electricity grid",IEA
2024 Urban Mobility Program,Brazil,2024,In force,National,https://www.iea.org/policies/19819-2024-urban-mobility-program,Transport,Government spending for low-emissions and efficient transport,,,https://www.gov.br/cidades/pt-br/acesso-a-informacao/acoes-e-programas/mobilidade-urbana,"The Urban Mobility Program, led by Brazil's Ministry of Cities, provides financial support for urban public transport systems and urban mobility enhancement.",IEA
2024 grid investments,Republic of Turkiye,2024,In force,National,https://www.iea.org/policies/18965-2024-grid-investments,Power,Government spending in electricity networks,,,https://www.sbb.gov.tr/wp-content/uploads/2024/01/2024-Yili-Yatirim-Programi-17012024.pdf,The Turkish government is investing in the following 2024 transmission and distribution grid projects:,IEA
2024-2025 Action Plan,Georgia,2024,In force,National,https://www.iea.org/policies/25817-2024-2025-action-plan,Economy-wide,Master Energy Plan,,,https://mepa.gov.ge/En/Files/ViewFile/53928,"In order to comply with Georgia's 2030 Strategy of Climate Change, the 2024-2025 Action Plan has been launched with the goal of reducing emissions by 15% compared to the baseline scenario.",IEA
2024-2025 Energy Saving and Carbon Reduction Action Plan,People's Republic of China,2024,In force,National,https://www.iea.org/policies/26477-2024-2025-energy-saving-and-carbon-reduction-action-plan,Economy-wide,Master Energy Plan,,,https://www.gov.cn/zhengce/content/202405/content_6954322.htm,"It aims to significantly reduce energy consumption and carbon emissions across various sectors. The plan includes measures to control fossil fuel consumption, increase non-fossil energy use, and implement energy-saving initiatives in industries such as steel, petrochemicals, and transportation. Targets include reducing energy consumption per unit of GDP by 2.5% and carbon emissions per unit of GDP by 3.9% in 2024, increasing the share of non-fossil energy consumption to 18.9% in 2024 and 20% in 2025, and achieving energy savings equivalent to 50 million tons of standard coal and reducing carbon emissions by 130 million tons by 2025.",IEA
2024-25 Budget allocation: Support for Australian Renewable Energy Agency to accelerate renewable energy uptake and energy decarbonisation,Australia,2024,In force,National,https://www.iea.org/policies/27095-2024-25-budget-allocation-support-for-australian-renewable-energy-agency-to-accelerate-renewable-energy-uptake-and-energy-decarbonisation,Fuels;Power,Government spending in storage;Government spending in low-carbon electricity;Government spending in hydrogen,,,https://arena.gov.au/news/record-funding-for-arena-to-supercharge-australias-net-zero-transition/,"In the 2024–25 Budget, the Australian Government committed $7.1 billion for budgeted programs to be administered by ARENA including:$1.9 billion boost to ARENA’s baseline funding$2 billion for round two of the Hydrogen Headstart program$1.7 billion for the Future Made in Australia Innovation Fund$1 billion previously announced for the Solar Sunshot program$500 million for the Battery Breakthrough Initiative",IEA
2026 Domestic electric and hydrogen vehicle producer support,South Africa,2024,In force,National,https://www.iea.org/policies/19857-2026-domestic-electric-and-hydrogen-vehicle-producer-support,Transport,Government spending for low-emissions and efficient transport,,,https://www.treasury.gov.za/documents/national%20budget/2024/review/FullBR.pdf,"The South African government is earmarking funding to provide tax reductions to domestic producers of electric and hydrogen vehicles from 2026, in line with New Energy Vehicles White Paper approved by the Cabinet in 2023.",IEA
2050 Net-Zero Roadmap,Israel,2024,In force,National,https://www.iea.org/policies/26315-2050-net-zero-roadmap,Economy-wide,Master Energy Plan,,,https://www.pv-magazine.com/2024/08/15/israel-presents-2050-net-zero-roadmap-envisaging-up-to-77-solar-share/,"The Israeli Ministry of Energy and Infrastructure has released a roadmap to achieve net-zero emissions in the energy sector by 2050, centred around solar power but adaptable to future technological shifts. It presents three scenarios: one where rapid advances make solar energy even cheaper and more efficient, potentially reaching a PV capacity of 108 GW; another where hydrogen technology matures and plays a key role; and a third in which the country embraces nuclear power. Each path reflects different trajectories based on policy choices and innovation.",IEA
Abolition of industrial tariffs,Switzerland,2024,In force,National,https://www.iea.org/policies/19094-abolition-of-industrial-tariffs,Power;Transport,Tariffs and duties,,,https://www.seco.admin.ch/seco/en/home/Aussenwirtschaftspolitik_Wirtschaftliche_Zusammenarbeit/Wirtschaftsbeziehungen/warenhandel/aufhebung_industriezoelle.html,"On 1 Jan 2024, Switzerland abolished import tariffs for industrial products and commodities, including minerals ores, fuels, oils, semiconductors, mechanical parts, electric circuits, and automobiles.",IEA
Accelerate Clean Hydrogen Application in the Industrial Sector,People's Republic of China,2024,In force,National,https://www.iea.org/policies/26567-accelerate-clean-hydrogen-application-in-the-industrial-sector,Industry,Strategic plans,,,https://www.nea.gov.cn/20241231/22b72793b0c946a4b9bfc2b06612b32e/c.html,"The notification provides specific guidelines and measures for promoting the use of clean hydrogen in various industrial processes, such as:",IEA
Act on National Resources Security,Korea,2024,In force,National,https://www.iea.org/policies/25412-act-on-national-resources-security,Fuels,Gas stockholding obligation;Oil stockholding obligation,,,https://www.law.go.kr/LSW//lsInfoP.do?lsiSeq=259657&chrClsCd=010202&urlMode=lsInfoP&efYd=20250207&ancYnChk=#0000,"This Act sets the policy framework for resource security, expanding the scope of critical materials to petroleum, natural gas, coal, uranium, hydrogen and core minerals. It notably includes stockpiling requirements for each of these key resources, and private supply institutions among the reserve obligation institutions may, if they reach an agreement with a public supply institution, delegate all or part of the obligation. The Act also requires a 5-yearly Basic Plan for Resource Security which can include strategies for securing gas to respond to global climate change efforts.",IEA
Act on product standards for the integration of energy from renewable sources into fossil fuels intended for the transport sector,Belgium,2024,In force,National,https://www.iea.org/policies/20497-act-on-product-standards-for-the-integration-of-energy-from-renewable-sources-into-fossil-fuels-intended-for-the-transport-sector,Transport,Biofuel blending mandate,,,https://www.ejustice.just.fgov.be/cgi_loi/article.pl?language=nl&lg_txt=n&cn_search=2023073111,"The act sets standards for the blending of renewable sources in the fuel industry, and regulates the volume of biofuels on the market.From 2024 onwards, the total quantity of diesel or gasoline that each oil company annually releases for consumption shall contain at least 5.7 % biofuels.",IEA
Action Plan for Promoting the Replacement of Consumer Goods,People's Republic of China,2024,Announced,National,https://www.iea.org/policies/26472-action-plan-for-promoting-the-replacement-of-consumer-goods,Transport,Government spending for low-emissions and efficient transport,,,https://www.gov.cn/zhengce/202406/content_6959463.htm,"The government has introduced various financial incentives to support the renewal of consumer goods, including subsidies, reduced down payments, interest reductions, and waiver of penalties. Central and local governments have allocated substantial funds, with the central government providing 64.4 billion yuan for automobile renewal subsidies and local governments contributing around 90 billion yuan for automobile renewal and 40 billion yuan for home appliance renewal. Additionally, financial institutions offer consumer loans, interest rate discounts, and credit card promotions to further encourage the renewal process.",IEA
Action Plan for Promoting the Replacement of Consumer Goods,People's Republic of China,2024,In force,National,https://www.iea.org/policies/21167-action-plan-for-promoting-the-replacement-of-consumer-goods,Buildings,Government spending for efficient or cleaner technologies,,,https://www.gov.cn/zhengce/202406/content_6959463.htm,The government of China has earmarked financial support to promote the replacement of green and smart home appliances as well as guide consumption upgrades.,IEA
Action plan for large-scale equipments renewal and trade-in of consumer goods,People's Republic of China,2024,Announced,National,https://www.iea.org/policies/19173-action-plan-for-large-scale-equipments-renewal-and-trade-in-of-consumer-goods,Economy-wide,Master Energy Plan,,,https://www.gov.cn/zhengce/content/202403/content_6939232.htm,"The State Council issued the Action plan for large-scale equipments renewal and trade-in of consumer goods, stating that by 2027,",IEA
Action plan to overcome the crisis situation in the oil and petroleum products market of Ukraine,Ukraine,2024,In force,National,https://www.iea.org/policies/26154-action-plan-to-overcome-the-crisis-situation-in-the-oil-and-petroleum-products-market-of-ukraine,Fuels,Oil emergency plan,,,https://mev.gov.ua/sites/default/files/2024-12/plan-diy-kriz.situaciya.pdf,The list of measures to overcome a crisis situation at the emergency level includes among others demand-side measures like speed limits and sales restrictions.,IEA
Affirmative Determinations in the Antidumping and Countervailing Duty Investigations of Ferrosilicon imports,United States,2024,Announced,National,https://www.iea.org/policies/20436-affirmative-determinations-in-the-antidumping-and-countervailing-duty-investigations-of-ferrosilicon-imports,,,,,https://www.trade.gov/preliminary-determinations-ad-and-cvd-investigation-ferrosilicon-russia,"In June 24, the U.S. authorities determined preliminary dumping rates and subsidy rates in the antidumping duty (AD) and countervailing duty (CVD) investigations conducted on ferrosilicon imports originating from Russia.",IEA
Agricultural and Rural 100% Renewable Energy (RE100) Demonstration Projects,Korea,2024,In force,National,https://www.iea.org/policies/19905-agricultural-and-rural-100-renewable-energy-re100-demonstration-projects,Buildings,Government spending for efficient or cleaner technologies,,,https://www.mafra.go.kr/sn3hcv_v2023/skin/doc.html?fn=DBDE995E-980C-3553-5D9B-26B2D3B76F6D.hwpx&rs=/sn3hcv_v2023/atchmnfl/bbs/202404/,"The Korean Ministry of Agriculture, Food, and Rural Affairs announced plans for 100% renewable energy (RE 100) demonstration projects for rural communities. The projects will select four rural communities for solar PV installation and energy efficiency upgrades to demonstrate the feasibility of reducing energy costs and meeting energy demand through renewable energy.The projects will be conducted over a two-year period. Participating communities will receive an energy diagnostic of their community energy demands; install renewable energy projects in residential, commercial, and community spaces; and carry out building renovation upgrades aimed at increasing energy efficiency. Projects will be selected in May 2024.The total national government budget dedicated will be KRW 3.67 billion (KRW 918 million for each project), with matching funds dedicated by local and provincial governments.",IEA
Algeria railways development programme,Algeria,2024,In force,National,https://www.iea.org/policies/25838-algeria-railways-development-programme,Transport,Government spending in rail infrastructure,,,https://www.aljazeera.net/ebusiness/2024/11/28/algeria-railways-development,"Algeria announced the allocation of $8 billion to purchase railway transport equipment of various types, including high-capacity locomotives, passenger cars, self-propelled trains, high-speed self-propelled trains, freight cars, and maneuvering locomotives. It is expected to reach 6,500 kilometers upon completion of the current programme, and 15,000 kilometers by 2030.",IEA
Algeria- Germany - Declaration of Intent in green hydrogen cooperation,Multilateral (2 countries),2024,Announced,National,https://www.iea.org/policies/19006-algeria-germany-declaration-of-intent-in-green-hydrogen-cooperation,,,,,https://www.bmwk.de/Redaktion/EN/Pressemitteilungen/2024/02/20240208-germany-and-algeria-set-up-hydrogen-taskforce.html,"In 2024, Germany and Algeria signed a declaration of intent to cooperate on a green hydrogen taskforce. The cooperation will be extended to the production, storage, and transport of green hydrogen and its derivatives. The full implementation of this cooperation will be based on the SoutH2 project, which is expected to be fully operational as early as 2030.",IEA
Amendment 18 to the Energy Efficiency Regulations,Canada,2024,Announced,National,https://www.iea.org/policies/21084-amendment-18-to-the-energy-efficiency-regulations,Economy-wide,Master Energy Plan,,,https://natural-resources.canada.ca/transparency/acts-and-regulations/forward-regulatory-plan/amendments-the-energy-efficiency-regulations-2016/21709,"In 2024, the Government of Canada will continue to advance more stringent Energy Efficiency Regulations in Canada with the adoption of Amendment 18. Additional updates to the Energy Efficiency Regulations will also be launched in the coming years, while NRCan continues to utilize regulatory tools to facilitate harmonization with other jurisdictions. This includes: new Technical Standards Documents, the use of ambulatory incorporation by reference of the U.S. Code of Federal Regulations (C.F.R), and participation in industry-led voluntary agreements for product energy efficiency, when feasible, as an alternative to regulations.",IEA
Amendments to Zimbabwe's Mining Tax Regime,Zimbabwe,2024,In force,National,https://www.iea.org/policies/26066-amendments-to-zimbabwes-mining-tax-regime,Critical Minerals,Permitting regimes;Transparency norms,,,"https://www.jsc.org.zw/upload/Gazette/Act%20No.%207%20of%202024,%20Finance%20(No.%202).pdf","Recent amendments to Zimbabwe's tax regime began with the , which introduced significant changes to income tax, value-added tax, customs and excise duties, and capital gains tax. The Finance Act of 2023 introduced a special capital gains tax on entities acquiring a mining title or any interest therein. The tax is payable in United States dollars at the rate of 20% of the value of the transaction concerned by the transferee entity. No mining title can be transferred unless the tax has been paid.The Finance Act of 2023 also introduced a levy of 1% of the gross value of the sale within Zimbabwe or the export of lithium, black granite, quarry stones and dimensional stones.Zimbabwe's amends and builds upon the provisions established by the Finance Act, 2023 by introducing several key changes to the tax regime that are designed to enhance revenue collection, improve tax compliance, and support the country's efforts to maximise the potential of its mineral resources.These key changes on taxes include:The Act also mandates that mining entities must register with the Zimbabwe Revenue Authority (ZIMRA) before acquiring or transferring mining titles. This requirement aims to ensure compliance with tax obligations prior to the grant of mining rights.To increase transparency, the definitions of ""beneficial owner"" and ""controller"" are expanded to include entities or individuals who exercise significant control, direct or indirect, over a mining entity.The Act encourages local processing and value addition to minerals before export, promoting local beneficiation within Zimbabwe's mining sector.",IEA
Anglo-Scottish electricity superhighway,United Kingdom,2024,Announced,National,https://www.iea.org/policies/26550-anglo-scottish-electricity-superhighway,Power,Government spending in electricity networks,,,https://www.ofgem.gov.uk/press-release/proposed-anglo-scottish-electricity-superhighway-first-clear-final-fast-track-funding-hurdle,The UK regulator Ofgem announced a £3.4 billion funding package to be awarded to build a new subsea and underground 500km cable between Scotland and Yorkshire.,IEA
Anhui Provincial Subsidy on New Energy Vehicles and Fuel Cell Vehicles 2024,People's Republic of China,2024,In force,National,https://www.iea.org/policies/19682-anhui-provincial-subsidy-on-new-energy-vehicles-and-fuel-cell-vehicles-2024,Transport,Government spending for low-emissions and efficient transport,,,https://czt.ah.gov.cn/public/7041/148898591.html,Anhui Provincial Department of Finance has released its budget for supporting New Energy Vehicle (NEV)s and fuel cell vehicles. These funds originate from the central government's budget.,IEA
"Announced import duty on electric and hybrid vehicles, and electric motorcycles.",Uganda,2024,Announced,National,https://www.iea.org/policies/20429-announced-import-duty-on-electric-and-hybrid-vehicles-and-electric-motorcycles,,,,,,,IEA
Anti-dumping duty on cold rolled coils and sheets imports,Philippines,2024,In force,National,https://www.iea.org/policies/20435-anti-dumping-duty-on-cold-rolled-coils-and-sheets-imports,,,,,https://tariffcommission.gov.ph/ad-99-05,"In April 2024, the Philippine authorities implemented an anti-dumping duty on cold rolled coils and sheets imports originating from Malaysia.",IEA
Anti-dumping investigation on galvanised steel product imports,Viet Nam,2024,Announced,National,https://www.iea.org/policies/20433-anti-dumping-investigation-on-galvanised-steel-product-imports,,,,,https://baochinhphu.vn/viet-nam-dieu-tra-chong-ban-pha-gia-ton-ma-nhap-tu-trung-quoc-han-quoc-102240614202811163.htm,The Vietnamese authorities initiated in June 2024 an investigation regarding the potential implementation of anti-dumping measures on galvanised steel product imports originating from China and South Korea.,IEA
Anti-dumping investigation on hot rolled flat steel not in coils imports,Republic of Turkiye,2024,Announced,National,https://www.iea.org/policies/20425-anti-dumping-investigation-on-hot-rolled-flat-steel-not-in-coils-imports,,,,,https://www.resmigazete.gov.tr/eskiler/2024/04/20240402-4.htm,"In April 2024, the Turksih authorities initiated an Anti-dumping investigation on the product hot rolled flat steel not in coils (thick plate) imports originating from Korea.",IEA
Anti-dumping measures on imports of solar photovoltaic modules and panels,Republic of Turkiye,2024,In force,National,https://www.iea.org/policies/20427-anti-dumping-measures-on-imports-of-solar-photovoltaic-modules-and-panels,Power,Tariffs and duties,,,https://www.resmigazete.gov.tr/eskiler/2024/03/20240319-2.htm,"In 2024, the Turkish authorities implemented anti-dumping measures on solar module and panel imports from Vietnam, Malaysia, Thailand, Croatia and Jordan .",IEA
Antidumping and Countervailing Duty Investigations of Crystalline Silicon Photovoltaic Cell imports,United States,2024,Announced,National,https://www.iea.org/policies/20438-antidumping-and-countervailing-duty-investigations-of-crystalline-silicon-photovoltaic-cell-imports,Power,Tariffs and duties,,,https://www.trade.gov/commerce-initiates-antidumping-and-countervailing-duty-investigations-crystalline-silicon,"In May 2024, the US authorities initiated antidumping and countervailing duty investigations of crystalline silicon photovoltaic cell imports from Cambodia, Malaysia, Thailand, and Viet Nam.",IEA
Antidumping and Countervailing Duty Investigations of Ferrosilicon imports,United States,2024,Announced,National,https://www.iea.org/policies/20437-antidumping-and-countervailing-duty-investigations-of-ferrosilicon-imports,,,,,https://www.trade.gov/initiation-antidumping-and-countervailing-duty-investigations-ferrosilicon-brazil-kazakhstan,"In April 2024, the US authorities initiated investigations of imports of ferrosilicon originating from Brazil, Kazakhstan, Malaysia and Russia.",IEA
Asasat Programme,Saudi Arabia,2024,Announced,National,https://www.iea.org/policies/25907-asasat-programme,Transport,Government spending in rail infrastructure,,,https://economysaudiarabia.com/news/saudi-arabia-to-expand-rail-network-generate-investment-opportunities/,"Saudi Arabia presented its Asasat Programme, an initiative to expand its rail network, offering investment opportunities up to SAR 15 billion Saudi by 2030.",IEA
Auctions for large plants with mature technologies,Italy,2024,In force,National,https://www.iea.org/policies/27090-auctions-for-large-plants-with-mature-technologies,,,,,https://www.mase.gov.it/notizie/avviata-la-consultazione-pubblica-sul-decreto-ferx-la-promozione-della-produzione-elettrica,"In line with what was implemented in the Ministerial Decree of 4/7/2019, a measure is envisaged with competitive tender mechanisms for mature technologies (e.g. wind, photovoltaic, hydroelectric), adopting a neutral approach between groups of technologies with similar structures and cost levels, possibly with safeguard mechanisms where technologies deemed necessary to achieve the objectives were systematically unsuccessful, it being understood that one of the purposes of this mechanism is to accompany market parity. The tenders will be aimed at stipulating contracts for difference based on the overall value of the tariff recognized following the procedure, according to the ""two-way"" criterion (i.e. recognition of the difference between the tariff and the market price of electricity where the difference is positive; restitution by the producer if the same difference is negative).",IEA
Australian Government National Hydrogen Strategy 2024,Australia,2024,In force,National,https://www.iea.org/policies/27086-australian-government-national-hydrogen-strategy-2024,Economy-wide,Master Energy Plan,,,https://www.dcceew.gov.au/energy/publications/australias-national-hydrogen-strategy,"The National Hydrogen Strategy, released in September 2024, provides a framework to guide Australia’s production, use and export of hydrogen an aims at positioning Australia to become a global hydrogen leader. The 2024 National Hydrogen Strategy represents a comprehensive formal review and update of the 2019 National Hydrogen Strategy. The new strategy focusses on accelerating clean hydrogen industry growth, through increasing global cost competitiveness by supporting industry development at scale.",IEA
Austria's REPowerEU,Austria,2024,In force,National,https://www.iea.org/policies/20000-austrias-repowereu,Economy-wide;People-Centred Clean Energy Transitions,Decent jobs;Universal energy access;Master Energy Plan,,,https://commission.europa.eu/business-economy-euro/economic-recovery/recovery-and-resilience-facility/country-pages/austrias-recovery-and-resilience-plan_en#repowereu-measures-in-austrias-plan,"On 19 October 2023, the European Union Commission has endorsed Austria's modified recovery and resilience plan, which includes a REPowerEU chapter. The REPowerEU Chapter contains two reforms and two investments with a grant allocation that amounts to € 210 million.",IEA
