Policy,Year,Country,Policy_Content,single_url_2,Scope,Document_Type,Economic_Sector,Energy_Types,Source
National Electricity Rules (2021 Ed.),2021,AUSTRALIA,The National Electricity Rules (2021 Ed.) govern the operation of the national electricity market (NEM). The Rules are made under the National Electricity Law and may be amended from time to time in accordance with the National Electricity Law.,https://policy.asiapacificenergy.org/node/3067,National,Rule/Regulation,Power,Power,APEP
National Gas (South Australia) Act 2008 (2021 Ed.),2021,AUSTRALIA,"The objective of this Law is to promote efficient investment in, and efficient operation and use of, natural gas services for the long term interests of consumers of natural gas with respect to price, quality, safety, reliability and security of supply of natural gas.",https://policy.asiapacificenergy.org/node/3066,Subnational,Act,"Energy, Power",Gas,APEP
National Electricity (South Australia) Act 1996 (2021 Ed.),2021,AUSTRALIA,"The objective of this Law is to promote efficient investment in, and efficient operation and use of, electricity services for the long term interests of consumers of electricity with respect to— (a) price, quality, safety, reliability and security of supply of electricity; and (b) the reliability, safety and security of the national electricity system.",https://policy.asiapacificenergy.org/node/3065,Subnational,Act,Power,Power,APEP
Electricity Supply Regulations (2021 Ed.),2021,"HONG KONG, CHINA","These regulations were made under section 3 of the repealed Electricity Supply Ordinance (Cap. 103, 1976 Ed.). See section 36(1) of the Interpretation and General Clauses Ordinance (Cap. 1) and section 59(1) of the Electricity Ordinance, enacted in 1990 (Cap. 406). The entail various specifications on electricity supply, including supply voltage standards.",https://policy.asiapacificenergy.org/node/2948,National,Rule/Regulation,Power,Power,APEP
Gas Safety Ordinance (Cap. 51) (2021 Ed.),2021,"HONG KONG, CHINA","An Ordinance to control, in the interests of safety, the importation, manufacture, storage, transport, supply and use of gas, and to provide for matters incidental thereto or connected therewith.",https://policy.asiapacificenergy.org/node/2947,National,Other,Power,Gas,APEP
Environmental Protection and Management Act (Act 9 of 1999) (2022 Ed.),2022,SINGAPORE,"The Act to consolidate the laws relating to environmental pollution control, to provide for the protection and management of the environment and resource conservation, and for purposes connected therewith.",https://policy.asiapacificenergy.org/node/2908,National,Act,"Energy, Power, Industry, Transport, Building, Multi-Sector","All, Power, Other",APEP
GreenGov.SG Initiative,2021,SINGAPORE,"The GreenGov.SG Initiative, launched on 12 July 2021 at the Partners for the Environment (PFE) Forum held during Climate Action Week, GreenGov.SG, is a key component of the Singapore Green Plan 2030. Under this initiative, the public sector will strive to attain ambitious sustainability targets in carbon abatement and resource efficiency, and be a positive influence and enabler of green efforts. Every public officer will also be encouraged and supported to embrace sustainable practices.",https://policy.asiapacificenergy.org/node/2904,National,Programme,"Energy, Power, Building","All, Power, Other",APEP
Electricity Feed-in (Large-scale Renewable Energy Generation) Act 2011 (2021 Ed.) (Australian Capital Territory),2021,AUSTRALIA,"An Act about the large-scale generation of electricity from renewable energy sources, and for other purposes. The objects of this Act are to— (a) promote the establishment of large-scale facilities for the generation of electricity from a range of renewable energy sources in the Australian capital region; and  (b) promote the development of the renewable energy generation industry in the ACT and Australia consistent with the development of a national electricity market; and (c) reduce the ACT’s contribution to greenhouse gas emissions and help achieve targets to reduce the ACT’s greenhouse gas emissions; and  (d) address the need for urgent action to be taken to reduce reliance on non-renewable energy sources while minimising the cost to electricity consumers.",https://policy.asiapacificenergy.org/node/2619,Subnational,Act,Power,"Power, Renewable, Solar, Wind",APEP
Building Control (Environmental Sustainability) Regulations 2008 (2021 Ed.),2021,SINGAPORE,These Regulations were issued as provided for by section 49 of the Building Control Act. They were put in place to require a minimum environmental sustainability standard that is equivalent to the Green Mark Certified Level for new buildings and existing ones that undergo major retrofitting. This regulation took effect from 15 Apr 2008. Projects that are submitted for URA planning permission on or after 15 Apr 2008 will be subject to this requirement.,https://policy.asiapacificenergy.org/node/2601,National,Rule/Regulation,Building,"All, Other",APEP
"Federal Law No. 223 of 2011 on Procurement of Goods, Works and Services by Certain Types of Legal Entities (2021 Ed.)",2021,RUSSIAN FEDERATION,"The law establishes the general principles for the procurement of goods and services and the basic requirements for the procurement of goods and services by public corporations, state-owned companies, natural monopolies, legal entities engaged in activities in the field of electricity, gas, heating, water supply, sewerage, waste-water treatment, recycling, disposal of solid waste, state enterprises and municipal enterprises, autonomous institutions and business entities with the state participation in the share capital in the amount of more than 50 per cent of shares, and and their subsidiaries.",https://policy.asiapacificenergy.org/node/2282,National,Law,"Power, Multi-Sector","All, Power",APEP
Federal Law No. 256 of 2011 on Security of the Facilities of the Fuel and Energy Complex (2021 Ed.),2021,RUSSIAN FEDERATION,"The law establishes the legal requirements for safety and security on the the objects of fuel and energy complex, except for the nuclear power plants. The law in order to prevent acts of trespass of unauthorized personnel and defines the powers of the federal authorities and state authorities in the energy governance, as well as the rights and responsibilities of the owners of the objects of the fuel and energy complex.",https://policy.asiapacificenergy.org/node/2280,National,Law,"Energy, Power","Coal, Oil, Power, Gas",APEP
Federal Law No. 57 of 2008 on the Procedure for Making Foreign Investments in Companies which are of Strategic Importance for Ensuring the Country's Defense and State Security (2021 Ed.),2021,RUSSIAN FEDERATION,"The law is ensuring the country's defence and state security establishing withdrawals of a restrictive nature for foreign investors and for a group of persons that includes a foreign investor when they participate in the authorised capitals of business associations of strategic importance and/or when the foreign investor is purchasing a property of the company of strategic importance in the ammount of 25 or more per cent of the balance-sheet value of the assets of the company of strategic importance and/or conclude other transactions, commit other actions resulting in the establishment of control of the foreign investors over such companies.",https://policy.asiapacificenergy.org/node/2229,National,Law,"Energy, Power, Multi-Sector","Oil, Power, Gas, Nuclear",APEP
Rules for Non-discriminatory Access to Power Transmission Services and Rendering of These Services (Government Decree No. 861 of 2004) (2021 Ed.),2021,RUSSIAN FEDERATION,"The present document approved four rules: 1) the rules for non-discriminatory access to power transmission services and rendering of these services, 2) the rules for non-discriminatory access to dispatching services in the electric power industry and rendering of these services, 3) the rules for non-discriminatory access to services rendered by the Administrator of Trading System functioning within the wholesale power market and rendering of these services, and 4) the rules for technological connection of power receiving devices (power plants) owned by legal entities and natural persons to power grids. The rules provided equal rights for all the consumers of electricity and services regardless of their organizational form and relations with the service provider.",https://policy.asiapacificenergy.org/node/2179,National,"Decree, Rule/Regulation",Power,Power,APEP
Resource Management Act 1991 (2021 Ed.),2021,NEW ZEALAND,"An Act to restate and reform the law relating to the use of land, air, and water. Its purpose is to promote the sustainable management of natural and physical resources.",https://policy.asiapacificenergy.org/node/2144,National,Act,Energy,"All, Coal, Oil, Gas, Renewable, Other",APEP
Electricity Act 1992 (2021 Ed.),2021,NEW ZEALAND,"An Act (a) To make better provision for the regulation of the supply of electricity and the electricity industry in New Zealand; and (b) To consolidate and amend the law relating to the regulation and control of electrical workers; and (c) To provide for matters incidental thereto; and (d) To repeal the Electric Linemen Act 1959, the Electricity Act 1968, and the Electrical Registration Act 1979.",https://policy.asiapacificenergy.org/node/2036,National,Act,Power,Power,APEP
Crown Minerals Act 1991 (2021 Ed.),2021,NEW ZEALAND,An Act to restate and reform the law relating to the management of Crown owned minerals.,https://policy.asiapacificenergy.org/node/2006,National,Act,Energy,"Coal, Oil",APEP
Energy Efficiency and Conservation Act 2000 (2021 Ed.),2021,NEW ZEALAND,"This Act aims to promote, in New Zealand, energy efficiency, energy conservation, and the use of renewable sources of energy.",https://policy.asiapacificenergy.org/node/2004,National,Act,Energy,"All, Renewable, Other",APEP
Atomic Energy Act 1945 (2021 Ed.),2021,"COOK ISLANDS, NEW ZEALAND","An Act to make provision for the control in New Zealand of the means of producing atomic energy and for that purpose to provide for the control of the mining and treatment of the ores of uranium and other elements, which may be used for the production of atomic energy, and to provide for the vesting of such substances in the Crown. This Act shall extend to and be in force in the Cook Islands.",https://policy.asiapacificenergy.org/node/2002,National,Act,Energy,Nuclear,APEP
Petroleum Demand Restraint Act 1981 (2021 Ed.),2021,NEW ZEALAND,"An Act to make provision for the imposition of measures restraining the demand for petroleum products or ensuring the equitable distribution in New Zealand of petroleum products that are, or are likely to be, in short supply in New Zealand.",https://policy.asiapacificenergy.org/node/1991,National,Act,Energy,Oil,APEP
Energy Companies Act 1992 (2021 Ed.),2021,NEW ZEALAND,"An Act to provide for the formation of energy companies, the vesting in such companies of the undertakings of Electric Power Boards and the electricity and gas undertakings of local authorities, and for the dissolution of Electric Power Boards; This Act repeals the Electric Power Boards Act 1925, the Auckland Electric Power Board Act 1978, and the Waikato Electricity Authority Act 1988.",https://policy.asiapacificenergy.org/node/1982,National,Act,"Energy, Power","All, Power, Gas",APEP
Greenhouse and Energy Minimum Standards Act 2012 (2021 Ed.),2021,AUSTRALIA,"An Act to promote the development and adoption of products that use less energy and produce fewer greenhouse gases, and for related purposes.",https://policy.asiapacificenergy.org/node/1907,National,Act,"Energy, Other","All, Other",APEP
Land Code of Turkmenistan of 2004 (2021 Ed.),2021,TURKMENISTAN,"The policy concentrates on sustainable development benefits associated with improvements in land management practices, conservation and protection of natural resources, creation of an enabling business environment in the sector.",https://policy.asiapacificenergy.org/node/1812,National,Code,"Multi-Sector, Other","All, Other",APEP
Building Energy Efficiency Disclosure Act 2010 (2021 Ed.),2021,AUSTRALIA,"An Act to promote the disclosure of information about the energy efficiency of buildings, and for related purposes.",https://policy.asiapacificenergy.org/node/1717,National,Act,"Energy, Building","All, Other",APEP
Fuel Tax Act 2006 (2021 Ed.),2021,AUSTRALIA,"An Act about fuel tax and fuel tax credits, and for related purposes.",https://policy.asiapacificenergy.org/node/1695,National,Act,"Energy, Multi-Sector",Oil,APEP
Renewable Energy (Electricity) Regulations 2001 (2021 Ed.),2021,AUSTRALIA,This document provides for Renewable Energy (Electricity) Regulations 2001 (Compilation No.73) as amended and in force on 28 March 2021.,https://policy.asiapacificenergy.org/node/1675,National,Rule/Regulation,Energy,"Power, Renewable, Bioenergy, Hydropower, Solar",APEP
Carbon Credits (Carbon Farming Initiative) Rule 2015 (2021 Ed.),2021,AUSTRALIA,Carbon Credits (Carbon Farming Initiative) Rule 2015 (2021 Ed.) made under the Carbon Credits (Carbon Farming Initiative) Act 2011.,https://policy.asiapacificenergy.org/node/1602,National,Rule/Regulation,"Multi-Sector, Other","All, Other",APEP
Schedule of Onshore Petroleum Exploration and Production Requirements (1 June 2021),2021,AUSTRALIA,The Schedule of Onshore Petroleum Exploration and Production Requirements (1 June 2021) provides for Onshore Petroleum Exploration and Production Requirements.,https://policy.asiapacificenergy.org/node/1569,Subnational,Other,Energy,Oil,APEP
Petroleum Regulations 2020 (Northern Territory),2021,AUSTRALIA,This document provides for Regulations under the Petroleum Act.,https://policy.asiapacificenergy.org/node/1568,Subnational,Rule/Regulation,Energy,Oil,APEP
Mineral Titles Act 2010 (2021 Ed.) (Northern Territory),2021,AUSTRALIA,"An Act about exploration for, and extraction and processing of, minerals and extractive minerals in the Territory, and for related purposes.",https://policy.asiapacificenergy.org/node/1564,Subnational,Act,Energy,Coal,APEP
Resource Management Act 1991 (2021 Ed.),2021,NEW ZEALAND,"An Act to restate and reform the law relating to the use of land, air, and water. Its purpose is to promote the sustainable management of natural and physical resources.",https://policy.asiapacificenergy.org/node/2144,National,Act,Energy,"All, Coal, Oil, Gas, Renewable, Other",APEP
Fuel Security Act 2021,2021,AUSTRALIA,"The Fuel Security Act 2021 to make arrangements in relation to fuel security, and for related purposes.",https://policy.asiapacificenergy.org/node/4412,National,Act,Energy,"Coal, Oil, Gas",APEP
Government Decree No. 650 of 2014 on State Agency for Regulation of the Fuel and Energy Complex under the Government of the Kyrgyz Republic (2021 Ed.),2021,KYRGYZSTAN,"The Government Decree No. 650 of 2014 (2021 Ed.) on State Agency for Regulation of the Fuel and Energy Complex under the Government of the Kyrgyz Republic (2017 Ed.) establishes the State Agency for Regulation of the Fuel and Energy Complex (SARFEC) under the Government of the Kyrgyz Republic on the basis of the State Department for Regulation of the Fuel and Energy Complex under the Ministry of Energy and Industry of the Kyrgyz Republic in order to separate the functions of forming policy, developing the fuel and energy complex, ensuring the independence of the sectoral regulatory body.",https://policy.asiapacificenergy.org/node/4210,National,Decree,Energy,"All, Coal, Oil, Gas",APEP
Electrical Products (Safety) Regulation (2021 Ed.),2021,"HONG KONG, CHINA",The Electrical Products (Safety) Regulation (2021 Ed.) determines: safety requirements for electrical products (designed for household use) supplied in Hong Kong (Part II); requirements for obtaining a certificate of safety compliance (Part III); the recognised certification bodies and recognized manufacturers (Part IV); Director's powers (Part V); offences and penalties (Part VI).,https://policy.asiapacificenergy.org/node/4158,National,Rule/Regulation,Power,Power,APEP
Electricity (Registration) Regulations (Cap. 406D) (2021 Ed.),2021,"HONG KONG, CHINA","The Electricity (Registration) Regulations (Cap. 406D) (2021 Ed.) determine: the rules of registration of contractors (Part II); grades of electrical work and qualifications of workers (Part III); the rules of application for registration, registration, term and renewal (Part IV); rules of generating facility registration (Part V); transitional registration periods (Part VI); and fees for application for registration (Schedule).",https://policy.asiapacificenergy.org/node/4157,National,Rule/Regulation,Power,Power,APEP
Gas Safety (Gas Quality) Regulations (2021 Ed.),2021,"HONG KONG, CHINA","The Gas Safety (Gas Quality) Regulations (2021 Ed.) determines standards of gas safety supply, including standard of pressure, standard of purity and distinctive smell. It also determines liability for violation of these regulations.",https://policy.asiapacificenergy.org/node/4148,National,Rule/Regulation,Energy,Gas,APEP
Climate Change Act 2021,2021,FIJI,"The Climate Change Act 2021 aims to establish a comprehensive response to climate change, to provide for the regulation and governance of the national response to climate change, to introduce a system for the measurement, reporting and verification of greenhouse gas emissions and for related matters.",https://policy.asiapacificenergy.org/node/4133,National,Act,"Multi-Sector, Other",Other,APEP
Electricity Industry Act 2010 (2021 Ed.),2021,NEW ZEALAND,"An Act (a) To make better provision for the regulation of the supply of electricity and the electricity industry in New Zealand; and (b) To consolidate and amend the law relating to the regulation and control of electrical workers; (c) To provide for matters incidental thereto; and (d) To repeal the Electric Linemen Act 1959, the Electricity Act 1968, and the Electrical Registration Act 1979.",https://policy.asiapacificenergy.org/node/3137,National,Act,Power,Power,APEP
Climate Change Response Act 2002 (2021 Ed.),2021,NEW ZEALAND,"The purpose of this Act is to enable New Zealand to meet its international obligations under the Convention and the Protocol, to provide for the implementation, operation, and administration of a greenhouse gas emissions trading scheme in New Zealand that supports and encourages global efforts to reduce the emission of greenhouse gases and to provide for the imposition, operation, and administration of a levy on specified synthetic greenhouse gases contained in motor vehicles and also another levy on other goods to support and encourage global efforts to reduce the emission of those gases.",https://policy.asiapacificenergy.org/node/3103,National,Act,"Energy, Power, Industry, Transport, Multi-Sector, Other","All, Power, Other",APEP
Energy Efficiency (Energy Using Products) Regulations 2002 (2021 Ed.),2021,NEW ZEALAND,These Regulations provide for details around energy efficiency standards and energy labelling requirements. Two schedules (Schedule 1 and Schedule 2) define a list of product classes subject to mandatory labelling and standards.,https://policy.asiapacificenergy.org/node/3089,National,Rule/Regulation,Power,"Power, Other",APEP
Fuel Quality Standards Act 2000 (2021 Ed.),2021,AUSTRALIA,"The Fuel Quality Standards Act 2000 (the Act) provides the legislative basis for national fuel quality and fuel quality information standards for Australia. The Act is in place to: regulate the quality of fuel supplied in Australia with the objective to reduce the level of pollutants and emissions arising from the use of fuel that may cause environmental and health problems; facilitate the adoption of better engine technology and emission control technology; and allow the more effective operation of engines; and ensure that, where appropriate, information about fuel is provided when the fuel is supplied. The standards regulate the supply of fuel to consumers and reduce toxic vehicle emissions. Modern vehicles require fuels that meet higher quality standards. Where a State or Territory has fuel quality standards in place, the Commonwealth standards operate concurrently. State or Territory standards apply where they regulate a fuel characteristic not covered by the Commonwealth standards.",https://policy.asiapacificenergy.org/node/3074,National,Act,"Power, Industry, Transport",Oil,APEP
National Electricity Rules (2021 Ed.),2021,AUSTRALIA,The National Electricity Rules (2021 Ed.) govern the operation of the national electricity market (NEM). The Rules are made under the National Electricity Law and may be amended from time to time in accordance with the National Electricity Law.,https://policy.asiapacificenergy.org/node/3067,National,Rule/Regulation,Power,Power,APEP
National Gas (South Australia) Act 2008 (2021 Ed.),2021,AUSTRALIA,"The objective of this Law is to promote efficient investment in, and efficient operation and use of, natural gas services for the long term interests of consumers of natural gas with respect to price, quality, safety, reliability and security of supply of natural gas.",https://policy.asiapacificenergy.org/node/3066,Subnational,Act,"Energy, Power",Gas,APEP
National Electricity (South Australia) Act 1996 (2021 Ed.),2021,AUSTRALIA,"The objective of this Law is to promote efficient investment in, and efficient operation and use of, electricity services for the long term interests of consumers of electricity with respect to— (a) price, quality, safety, reliability and security of supply of electricity; and (b) the reliability, safety and security of the national electricity system.",https://policy.asiapacificenergy.org/node/3065,Subnational,Act,Power,Power,APEP
Electricity Supply Regulations (2021 Ed.),2021,"HONG KONG, CHINA","These regulations were made under section 3 of the repealed Electricity Supply Ordinance (Cap. 103, 1976 Ed.). See section 36(1) of the Interpretation and General Clauses Ordinance (Cap. 1) and section 59(1) of the Electricity Ordinance, enacted in 1990 (Cap. 406). The entail various specifications on electricity supply, including supply voltage standards.",https://policy.asiapacificenergy.org/node/2948,National,Rule/Regulation,Power,Power,APEP
Gas Safety Ordinance (Cap. 51) (2021 Ed.),2021,"HONG KONG, CHINA","An Ordinance to control, in the interests of safety, the importation, manufacture, storage, transport, supply and use of gas, and to provide for matters incidental thereto or connected therewith.",https://policy.asiapacificenergy.org/node/2947,National,Other,Power,Gas,APEP
Environmental Protection and Management Act (Act 9 of 1999) (2022 Ed.),2022,SINGAPORE,"The Act to consolidate the laws relating to environmental pollution control, to provide for the protection and management of the environment and resource conservation, and for purposes connected therewith.",https://policy.asiapacificenergy.org/node/2908,National,Act,"Energy, Power, Industry, Transport, Building, Multi-Sector","All, Power, Other",APEP
GreenGov.SG Initiative,2021,SINGAPORE,"The GreenGov.SG Initiative, launched on 12 July 2021 at the Partners for the Environment (PFE) Forum held during Climate Action Week, GreenGov.SG, is a key component of the Singapore Green Plan 2030. Under this initiative, the public sector will strive to attain ambitious sustainability targets in carbon abatement and resource efficiency, and be a positive influence and enabler of green efforts. Every public officer will also be encouraged and supported to embrace sustainable practices.",https://policy.asiapacificenergy.org/node/2904,National,Programme,"Energy, Power, Building","All, Power, Other",APEP
Electricity Feed-in (Large-scale Renewable Energy Generation) Act 2011 (2021 Ed.) (Australian Capital Territory),2021,AUSTRALIA,"An Act about the large-scale generation of electricity from renewable energy sources, and for other purposes. The objects of this Act are to— (a) promote the establishment of large-scale facilities for the generation of electricity from a range of renewable energy sources in the Australian capital region; and  (b) promote the development of the renewable energy generation industry in the ACT and Australia consistent with the development of a national electricity market; and (c) reduce the ACT’s contribution to greenhouse gas emissions and help achieve targets to reduce the ACT’s greenhouse gas emissions; and  (d) address the need for urgent action to be taken to reduce reliance on non-renewable energy sources while minimising the cost to electricity consumers.",https://policy.asiapacificenergy.org/node/2619,Subnational,Act,Power,"Power, Renewable, Solar, Wind",APEP
Building Control (Environmental Sustainability) Regulations 2008 (2021 Ed.),2021,SINGAPORE,These Regulations were issued as provided for by section 49 of the Building Control Act. They were put in place to require a minimum environmental sustainability standard that is equivalent to the Green Mark Certified Level for new buildings and existing ones that undergo major retrofitting. This regulation took effect from 15 Apr 2008. Projects that are submitted for URA planning permission on or after 15 Apr 2008 will be subject to this requirement.,https://policy.asiapacificenergy.org/node/2601,National,Rule/Regulation,Building,"All, Other",APEP
"Federal Law No. 223 of 2011 on Procurement of Goods, Works and Services by Certain Types of Legal Entities (2021 Ed.)",2021,RUSSIAN FEDERATION,"The law establishes the general principles for the procurement of goods and services and the basic requirements for the procurement of goods and services by public corporations, state-owned companies, natural monopolies, legal entities engaged in activities in the field of electricity, gas, heating, water supply, sewerage, waste-water treatment, recycling, disposal of solid waste, state enterprises and municipal enterprises, autonomous institutions and business entities with the state participation in the share capital in the amount of more than 50 per cent of shares, and and their subsidiaries.",https://policy.asiapacificenergy.org/node/2282,National,Law,"Power, Multi-Sector","All, Power",APEP
Federal Law No. 256 of 2011 on Security of the Facilities of the Fuel and Energy Complex (2021 Ed.),2021,RUSSIAN FEDERATION,"The law establishes the legal requirements for safety and security on the the objects of fuel and energy complex, except for the nuclear power plants. The law in order to prevent acts of trespass of unauthorized personnel and defines the powers of the federal authorities and state authorities in the energy governance, as well as the rights and responsibilities of the owners of the objects of the fuel and energy complex.",https://policy.asiapacificenergy.org/node/2280,National,Law,"Energy, Power","Coal, Oil, Power, Gas",APEP
Federal Law No. 57 of 2008 on the Procedure for Making Foreign Investments in Companies which are of Strategic Importance for Ensuring the Country's Defense and State Security (2021 Ed.),2021,RUSSIAN FEDERATION,"The law is ensuring the country's defence and state security establishing withdrawals of a restrictive nature for foreign investors and for a group of persons that includes a foreign investor when they participate in the authorised capitals of business associations of strategic importance and/or when the foreign investor is purchasing a property of the company of strategic importance in the ammount of 25 or more per cent of the balance-sheet value of the assets of the company of strategic importance and/or conclude other transactions, commit other actions resulting in the establishment of control of the foreign investors over such companies.",https://policy.asiapacificenergy.org/node/2229,National,Law,"Energy, Power, Multi-Sector","Oil, Power, Gas, Nuclear",APEP
Rules for Non-discriminatory Access to Power Transmission Services and Rendering of These Services (Government Decree No. 861 of 2004) (2021 Ed.),2021,RUSSIAN FEDERATION,"The present document approved four rules: 1) the rules for non-discriminatory access to power transmission services and rendering of these services, 2) the rules for non-discriminatory access to dispatching services in the electric power industry and rendering of these services, 3) the rules for non-discriminatory access to services rendered by the Administrator of Trading System functioning within the wholesale power market and rendering of these services, and 4) the rules for technological connection of power receiving devices (power plants) owned by legal entities and natural persons to power grids. The rules provided equal rights for all the consumers of electricity and services regardless of their organizational form and relations with the service provider.",https://policy.asiapacificenergy.org/node/2179,National,"Decree, Rule/Regulation",Power,Power,APEP
Resource Management Act 1991 (2021 Ed.),2021,NEW ZEALAND,"An Act to restate and reform the law relating to the use of land, air, and water. Its purpose is to promote the sustainable management of natural and physical resources.",https://policy.asiapacificenergy.org/node/2144,National,Act,Energy,"All, Coal, Oil, Gas, Renewable, Other",APEP
Electricity Act 1992 (2021 Ed.),2021,NEW ZEALAND,"An Act (a) To make better provision for the regulation of the supply of electricity and the electricity industry in New Zealand; and (b) To consolidate and amend the law relating to the regulation and control of electrical workers; and (c) To provide for matters incidental thereto; and (d) To repeal the Electric Linemen Act 1959, the Electricity Act 1968, and the Electrical Registration Act 1979.",https://policy.asiapacificenergy.org/node/2036,National,Act,Power,Power,APEP
Crown Minerals Act 1991 (2021 Ed.),2021,NEW ZEALAND,An Act to restate and reform the law relating to the management of Crown owned minerals.,https://policy.asiapacificenergy.org/node/2006,National,Act,Energy,"Coal, Oil",APEP
Energy Efficiency and Conservation Act 2000 (2021 Ed.),2021,NEW ZEALAND,"This Act aims to promote, in New Zealand, energy efficiency, energy conservation, and the use of renewable sources of energy.",https://policy.asiapacificenergy.org/node/2004,National,Act,Energy,"All, Renewable, Other",APEP
Atomic Energy Act 1945 (2021 Ed.),2021,"COOK ISLANDS, NEW ZEALAND","An Act to make provision for the control in New Zealand of the means of producing atomic energy and for that purpose to provide for the control of the mining and treatment of the ores of uranium and other elements, which may be used for the production of atomic energy, and to provide for the vesting of such substances in the Crown. This Act shall extend to and be in force in the Cook Islands.",https://policy.asiapacificenergy.org/node/2002,National,Act,Energy,Nuclear,APEP
