Policy,Year,Country,Policy_Content,URL,Scope,Explanation,Agency,Source
President Biden Reverses Moves to Shrink National Monuments,2021,USA,<p>President Biden rescinded proclamations that had shrunk the size of the Bears Ears National Monument and the Grand Staircase-Escalante National Monument.</p>,https://climate.law.columbia.edu/content/president-biden-reverses-moves-shrink-national-monuments,National,Executive Order,White House,Climate-Reregulation-Tracker
President Biden Blocks Keystone XL Pipeline,2021,USA,<p>President Biden rescinded a key permit for the Keystone XL Pipeline.</p>,https://climate.law.columbia.edu/content/president-biden-blocks-keystone-xl-pipeline,National,Executive Order,White House,Climate-Reregulation-Tracker
USDA Pauses Activity in Roadless Areas,2021,USA,<p>The Biden Administration paused activity in areas covered by the Roadless Rule.</p>,https://climate.law.columbia.edu/content/usda-pauses-activity-roadless-areas,National,Agency Memorandum,USDA,Climate-Reregulation-Tracker
Interior Delays Rollback of Royalties Rule,2021,USA,<p>The Department of Interior delayed and began reconsidering an action that the previous administrative took to roll requirements for fossil fuel royalties.</p>,https://climate.law.columbia.edu/content/interior-delays-rollback-royalties-rule,National,"Final rule,request for comments","Interior,ONRR",Climate-Reregulation-Tracker
CEQ Rescinds Trump-Era GHG Guidance,2021,USA,<p>The Council on Environmental Quality rescinded draft guidance on greenhouse gas emissions that the previous administration had issued.</p>,https://climate.law.columbia.edu/content/ceq-rescinds-trump-era-ghg-guidance,National,Guidance,CEQ,Climate-Reregulation-Tracker
DOE Announces Reregulation Agenda,2021,USA,<p>DOE provided a list of deregulatory actions it is considering reversing.</p>,https://climate.law.columbia.edu/content/doe-announces-reregulation-agenda,National,Memorandum,DOE,Climate-Reregulation-Tracker
"President Biden Orders Review of Renewable Energy, EV Supply Chains",2021,USA,<p>President Biden signed an executive order of supply chains for materials used in renewable energy and electric vehicles.</p>,https://climate.law.columbia.edu/content/president-biden-orders-review-renewable-energy-ev-supply-chains,National,Executive Order,White House,Climate-Reregulation-Tracker
Biden Administration Revamps Social Cost of Carbon,2021,USA,"<p>The Biden Administration moved towards revamping and raising the social cost of carbon, which will alter the way that climate impacts are accounted for in federal decision-making.</p>",https://climate.law.columbia.edu/content/biden-administration-revamps-social-cost-carbon,National,White House Announcement,White House,Climate-Reregulation-Tracker
DOD Creates Climate Working Group,2021,USA,<p>The Department of Defense established a Climate Working Group.</p>,https://climate.law.columbia.edu/content/dod-creates-climate-working-group,National,Agency Memorandum,DOD,Climate-Reregulation-Tracker
USDA Considers Climate-Smart Program Changes,2021,USA,<p>USDA requested public comment on potential climate-friendly programmatic changes.</p>,https://climate.law.columbia.edu/content/usda-considers-climate-smart-program-changes,National,Request for Public Comment,USDA,Climate-Reregulation-Tracker
DOE Lowers Barriers to New Energy Efficiency Standards ,2021,USA,<p>DOE proposed reversing the previous administration's efforts to create hurdles in setting energy efficiency standards.</p>,https://climate.law.columbia.edu/content/doe-lowers-barriers-new-energy-efficiency-standards,National,Notice of Proposed Rulemaking,DOE,Climate-Reregulation-Tracker
DOI Revokes Pro-Fossil Orders,2021,USA,<p>The Secretary of the Interior revoked orders issued by her predecessors to promote fossil fuel extraction on federal lands.</p>,https://climate.law.columbia.edu/content/doi-revokes-pro-fossil-orders,National,Secretary's Order,DOI,Climate-Reregulation-Tracker
DOI Order Prioritizes Climate and Transparency ,2021,USA,"<p>The Secretary of the Interior issued an order that prioritizes climate change, transparency, and integrity in policymaking.</p>",https://climate.law.columbia.edu/content/doi-order-prioritizes-climate-and-transparency,National,Secretary's Order,DOI,Climate-Reregulation-Tracker
SEC Creates Climate Task Force,2021,USA,<p>The Securities and Exchange Commission created a task force to police companies' climate risk disclosures.</p>,https://climate.law.columbia.edu/content/sec-creates-climate-task-force,National,Announcement,SEC,Climate-Reregulation-Tracker
NHTSA Proposal Would Restore State Auto Emissions Authority,2021,USA,<p>The National Highway Traffic Safety Administration proposed revoking a rule that prevents states from regulating greenhouse gas emissions from cars.</p>,https://climate.law.columbia.edu/content/nhtsa-proposal-would-restore-state-auto-emissions-authority,National,Notice of Proposed Rulemaking,NHTSA,Climate-Reregulation-Tracker
US Pledges to Halve GHGs By 2030 ,2021,USA,<p>President Biden set a 2030 target of reducing U.S. greenhouse gas emissions by 50-52% as part of the United States' Nationally Determined Contribution under the Paris Agreement.</p>,https://climate.law.columbia.edu/content/us-pledges-halve-ghgs-2030,National,International Commitment,White House,Climate-Reregulation-Tracker
US Publishes Climate Finance Plan,2021,USA,<p>The United States issued an international Climate Finance Plan.</p>,https://climate.law.columbia.edu/content/us-publishes-climate-finance-plan,National,International Commitment,White House,Climate-Reregulation-Tracker
EPA Moves to Restore California's Clean Car Authority,2021,USA,<p>EPA moved towards restoring California's authority to set its own greenhouse gas standards and zero-emission vehicle mandate for motor vehicles.</p>,https://climate.law.columbia.edu/content/epa-moves-restore-californias-clean-car-authority,National,Notice of Opportunity for Public Hearing and Comment,EPA,Climate-Reregulation-Tracker
EPA Proposes Phasedown of Climate Super-Pollutant,2021,USA,<p>EPA proposed a rule to phase down<strong> </strong>the powerful greenhouse gases hydrofluorocarbons.</p>,https://climate.law.columbia.edu/content/epa-proposes-phasedown-climate-super-pollutant,National,Proposed Rule,EPA,Climate-Reregulation-Tracker
Senate Moves to Repeal Trump Methane Rule,2021,USA,<p>The Senate passed a resolution to repeal the Trump administration's rollback of methane controls on the oil and natural gas sector.</p>,https://climate.law.columbia.edu/content/senate-moves-repeal-trump-methane-rule,National,Congressional Action,EPA,Climate-Reregulation-Tracker
Conservation Plan Submitted to National Climate Task Force,2021,USA,"<p>The Departments of Interior, Agriculture and Commerce and the Council on Environmental Quality delivered a preliminary report to the National Climate Task Force recommending a ten-year national conservation campaign.</p>",https://climate.law.columbia.edu/content/conservation-plan-submitted-national-climate-task-force,National,Report,"DOI,USDA,CEQ,DOC",Climate-Reregulation-Tracker
EPA Rescinds Cost-Benefit Analysis Overhaul ,2021,USA,<p>EPA rescinded the previous administration's overhaul to cost-benefit analysis. The rescinded rule could have constrained the agency from considering the full benefits of environmental regulations.</p>,https://climate.law.columbia.edu/content/epa-rescinds-cost-benefit-analysis-overhaul,National,"Interim Rule,Requests for Comments",EPA,Climate-Reregulation-Tracker
EPA Issues Plan for Solid Waste Emissions,2021,USA,"<p>EPA issued a federal plan for existing municipal solid waste landfills operated by any state, tribe or locale that has not submitted a satisfactory plan to reduce emissions of landfill gas in accordance with 2016 guidelines.</p>",https://climate.law.columbia.edu/content/epa-issues-plan-solid-waste-emissions,National,Final rule,EPA,Climate-Reregulation-Tracker
Biden Administration Announces Effort to Electrify Federal Buildings,2021,USA,<p>The Biden administration announced new federal investments in building energy efficiency and electrification.</p>,https://climate.law.columbia.edu/content/biden-administration-announces-effort-electrify-federal-buildings,National,White House Announcement,"DOE,GSA,EPA,CEQ",Climate-Reregulation-Tracker
Executive Order Launches Action on Financial Risks,2021,USA,<p>The president signed an executive order on climate-related financial risk.</p>,https://climate.law.columbia.edu/content/executive-order-launches-action-financial-risks,National,Executive Order,White House,Climate-Reregulation-Tracker
President Biden Reinstates Executive Order on Flood Risk Management,2021,USA,<p>President Biden reinstated an executive order on federal flood risk management.</p>,https://climate.law.columbia.edu/content/president-biden-reinstates-executive-order-flood-risk-management,National,Executive Order,White House,Climate-Reregulation-Tracker
DOE Moves to Reverse Lightbulb Rollback,2021,USA,<p>The Department of Energy moved towards reinstating energy efficiency standards for lightbulbs that had been blocked by the previous administration.</p>,https://climate.law.columbia.edu/content/doe-moves-reverse-lightbulb-rollback,National,Request for Information,DOE,Climate-Reregulation-Tracker
Interior Halts Drilling in ANWR,2021,USA,<p>The Department of the Interior suspended oil and gas leases in the Arctic National Wildlife Refuge.</p>,https://climate.law.columbia.edu/content/interior-halts-drilling-anwr,National,Secretarial Order,DOI,Climate-Reregulation-Tracker
President Biden Signs Order on Climate Migration,2021,USA,<p>President Biden signed an executive order to incorporate climate change into U.S. analysis of and policy regarding migration.</p>,https://climate.law.columbia.edu/content/president-biden-signs-order-climate-migration,National,Executive Order,White House,Climate-Reregulation-Tracker
Interior Moves to Reverse Rollback of Royalties Rule,2021,USA,<p>The Department of Interior proposed repealing an action that the previous administrative took to roll requirements for fossil fuel royalties.</p>,https://climate.law.columbia.edu/content/interior-moves-reverse-rollback-royalties-rule,National,Proposed Rule,"Interior,ONRR",Climate-Reregulation-Tracker
House Moves to Repeal Trump Methane Rule,2021,USA,<p>The House passed a resolution to repeal the Trump administration's rollback of methane controls on the oil and natural gas sector.</p>,https://climate.law.columbia.edu/content/house-moves-repeal-trump-methane-rule,National,Congressional Action,House of Representatives,Climate-Reregulation-Tracker
President Biden Signs Resolution Repealing Trump Methane Rule,2021,USA,<p>President Biden signed a congressional resolution to repeal the Trump administration's rollback of methane controls on the oil and natural gas sector.</p>,https://climate.law.columbia.edu/content/president-biden-signs-resolution-repealing-trump-methane-rule,National,Congressional Action,White House,Climate-Reregulation-Tracker
Biden Administration Moves to Protect Country's Largest National Forest,2021,USA,"<p>The Department of Agriculture announced a new Southeast Alaska Sustainability Strategy to help support a diverse economy, enhance community resilience, and conserve natural resources, including by ending large-scale old growth timber sales on the Tongass National Forest.</p>",https://climate.law.columbia.edu/content/biden-administration-moves-protect-countrys-largest-national-forest,National,Agency Announcement,USDA,Climate-Reregulation-Tracker
PHMSA Reminds Industry to Address Methane Leaks,2021,USA,<p>The Pipeline Hazardous Materials Safety Administration issued an advisory bulletin underscoring to pipeline and pipeline facility operators their obligations to minimize methane emissions.</p>,https://climate.law.columbia.edu/content/phmsa-reminds-industry-address-methane-leaks,National,Notice,"DOT,PHMSA",Climate-Reregulation-Tracker
Department of Energy Proposes Reversal of Energy Efficiency Rollbacks,2021,USA,<p>The Department of Energy proposed reversing energy efficiency rollbacks issued by the prior administration for dishwashers and washing machines.</p>,https://climate.law.columbia.edu/content/department-energy-proposes-reversal-energy-efficiency-rollbacks,National,Notice of Proposed Rulemaking,DOE,Climate-Reregulation-Tracker
EPA Proposes Strengthening Motor Vehicle Standards,2021,USA,<p>The Environmental Protection Agency proposed new greenhouse gas standards for light-duty motor vehicles.</p>,https://climate.law.columbia.edu/content/epa-proposes-strengthening-motor-vehicle-standards,National,Notice of Proposed Rulemaking,EPA,Climate-Reregulation-Tracker
White House Sets New Clean Car Goals,2021,USA,<p>The White House issued an executive order setting a goal that 50 percent of all new passenger cars and light trucks sold in 2030 be zero-emission vehicles.</p>,https://climate.law.columbia.edu/content/white-house-sets-new-clean-car-goals,National,Executive Order,White House,Climate-Reregulation-Tracker
Department of Energy Moves to Reinstate Lightbulb Rule,2021,USA,<p>The Department of Energy proposed reinstating a rule to expand the types of light bulbs subject to energy efficiency standards under the Environmental Policy and Conservation Act.</p>,https://climate.law.columbia.edu/content/department-energy-moves-reinstate-lightbulb-rule,National,Notice of Proposed Rulemaking,DOE,Climate-Reregulation-Tracker
Department of Energy Proposes Reversal of Heating Efficiency Rollback,2021,USA,<p>The Department of Energy proposed to reinstate a previous interpretation of energy efficiency rules pertaining to residential furnaces and commercial water heaters.</p>,https://climate.law.columbia.edu/content/department-energy-proposes-reversal-heating-efficiency-rollback,National,Notification of proposed interpretive rule,DOE,Climate-Reregulation-Tracker
HHS Establishes Office of Climate Change and Health Equity,2021,USA,<p>The U.S. Department of Health and Human Services established an Office of Climate Change and Health Equity.&nbsp;</p>,https://climate.law.columbia.edu/content/hhs-establishes-office-climate-change-and-health-equity,National,Agency Announcement,HHS,Climate-Reregulation-Tracker
NHTSA Proposes More Stringent Fuel Economy Standards,2021,USA,<p>The National Highway Traffic Safety Administration proposed more stringent corporate average fuel economy (CAFE) standards for passenger cars and light trucks for model years 2024–2026.</p>,https://climate.law.columbia.edu/content/nhtsa-proposes-more-stringent-fuel-economy-standards,National,Notice of Proposed Rulemaking,NHTSA,Climate-Reregulation-Tracker
DOE Releases Solar Futures Study,2021,USA,"<p>The Department of Energy released its <em>Solar Future Study</em>, outlining the significant role of solar energy in decarbonizing the nation’s power grid.</p>",https://climate.law.columbia.edu/content/doe-releases-solar-futures-study,National,Report,DOE,Climate-Reregulation-Tracker
Biden Administration Launches Government-Wide Effort to Cut Aviation Emissions,2021,USA,<p>The Biden Administration launched a government-wide effort to reduce aviation emissions by 20% by 2030.</p>,https://climate.law.columbia.edu/content/biden-administration-launches-government-wide-effort-cut-aviation-emissions,National,White House Announcement,"White House,DOE,DOT,USDA,EPA,FAA,DOD,NASA",Climate-Reregulation-Tracker
"DOE, DOT, and USDA Launch Sustainable Aviation Fuel Grand Challenge",2021,USA,"<p>The Department of Energy, Department of Transportation, and Department of Agriculture launched a Sustainable Aviation Fuel Grand Challenge to reduce costs, enhance sustainability, and expand production and use of sustainable aviation fuels.</p>",https://climate.law.columbia.edu/content/doe-dot-and-usda-launch-sustainable-aviation-fuel-grand-challenge,National,Agency Memorandum,"DOE,DOT,USDA",Climate-Reregulation-Tracker
USDA Invests $464 Million in Renewable Energy Infrastructure in Rural Communities,2021,USA,<p>The Department of Agriculture announced that it is investing $464 million to build and improve renewable energy infrastructure in rural communities.</p>,https://climate.law.columbia.edu/content/usda-invests-464-million-renewable-energy-infrastructure-rural-communities,National,Agency Announcement,USDA,Climate-Reregulation-Tracker
DOE Launches Local Energy Action Program,2021,USA,"<p>The Department of Energy launched its Local Energy Action Program (Communities LEAP), designed to help environmental justice and fossil fuel communities develop locally-driven energy plans.</p>",https://climate.law.columbia.edu/content/doe-launches-local-energy-action-program,National,Agency Announcement,DOE,Climate-Reregulation-Tracker
EPA Finalizes Rule Phasing Down Climate Super-Pollutant ,2021,USA,<p>The Environmental Protection Agency finalizes a rule to phase down the powerful greenhouse gases hydrofluorocarbons.</p>,https://climate.law.columbia.edu/content/epa-finalizes-rule-phasing-down-climate-super-pollutant,National,Final rule,EPA,Climate-Reregulation-Tracker
DOI Withdraws Trump-Era Fossil Fuel Valuation Rule,2021,USA,"<p>The Department of Interior withdrew the 2020 Valuation Reform and Civil Penalty Rule, which had been issued to promote domestic fossil fuel use and development.</p>",https://climate.law.columbia.edu/content/doi-withdraws-trump-era-fossil-fuel-valuation-rule,National,Final rule,DOI,Climate-Reregulation-Tracker
EPA Proposes Rule Requiring Companies to Capture and Destroy Byproduct Greenhouse Gas,2021,USA,"<p>The Environmental Protection Agency proposed a rule that would require companies to control, capture, and/or destroy HFC-23, which is generated as a byproduct during the manufacture of HCFCs.</p>",https://climate.law.columbia.edu/content/epa-proposes-rule-requiring-companies-capture-and-destroy-byproduct-greenhouse-gas,National,Proposed Rule,EPA,Climate-Reregulation-Tracker
SEC Proposes Rule Requiring Disclosure of Proxy Voting Records Pertaining to Environmental and Climate Issues,2021,USA,<p>The Security and Exchange Commission proposed amendments to Form N-XP that would require disclosure of proxy voting records on issues pertaining to the environment and climate.</p>,https://climate.law.columbia.edu/content/sec-proposes-rule-requiring-disclosure-proxy-voting-records-pertaining-environmental-and,National,Proposed Rule,SEC,Climate-Reregulation-Tracker
FEMA Updates Its National Flood Insurance Program to Account for Climate Risks,2021,USA,"<p>The Federal Emergency Management Agency published an update to its Flood Insurance Manual, titled Risk Rating 2.0: Equity in Action, which updates its National Flood Insurance Program to account for increasing flood trends.</p>",https://climate.law.columbia.edu/content/fema-updates-its-national-flood-insurance-program-account-climate-risks,National,Guidance,FEMA,Climate-Reregulation-Tracker
EPA Releases Draft Strategic Plan That Emphasizes Climate Goals,2021,USA,"<p>The Environmental Protection Agency released its<strong> </strong><em>FY 2022-2026 Strategic Plan Draft</em>, which emphasizes climate change mitigation and adaptation objectives.</p>",https://climate.law.columbia.edu/content/epa-releases-draft-strategic-plan-emphasizes-climate-goals,National,Strategic Plan,EPA,Climate-Reregulation-Tracker
CEQ Begins Process of Restoring NEPA Review of Cumulative Impacts,2021,USA,<p>The Council on Environmental Quality issued a notice of proposed rulemaking to restore NEPA requirements relevant to the review of climate impacts.</p>,https://climate.law.columbia.edu/content/ceq-begins-process-restoring-nepa-review-cumulative-impacts,National,Notice of Proposed Rulemaking,CEQ,Climate-Reregulation-Tracker
Twenty-Three Federal Agencies Release Climate Adaptation and Resiliency Plans,2021,USA,<p>Over twenty federal agencies released plans detailing how they will adapt to climate change and increase resilience to climate change impacts.</p>,https://climate.law.columbia.edu/content/twenty-three-federal-agencies-release-climate-adaptation-and-resiliency-plans,National,Strategic Plan,"White House,CEQ",Climate-Reregulation-Tracker
EPA Grants Petitions to Restrict HFC Use,2021,USA,"<p>EPA grants ten petitions to restrict the use of HFCs in the refrigeration, air conditioning, aerosols, and foam sectors.&nbsp;</p>",https://climate.law.columbia.edu/content/epa-grants-petitions-restrict-hfc-use,National,Notice of Determination,EPA,Climate-Reregulation-Tracker
FEMA Begins Process of Revising Floodplain Management Standards to Increase Climate Resiliency,2021,USA,<p>The Federal Emergency Management Agency published a notice of request for information on how to increase community resiliency by aligning floodplain management standards with modern flood risk understanding and flood risk reduction approaches.</p>,https://climate.law.columbia.edu/content/fema-begins-process-revising-floodplain-management-standards-increase-climate-resiliency,National,Request for Information,FEMA,Climate-Reregulation-Tracker
AHRQ Requests Public Input on Climate Change and Environmental Justice Issues in Healthcare,2021,USA,<p>The Agency for Healthcare Research and Quality published a notice of request for information on how the agency can best address climate change and environmental justice in healthcare.</p>,https://climate.law.columbia.edu/content/ahrq-requests-public-input-climate-change-and-environmental-justice-issues-healthcare,National,Request for Information,"AHRQ,HHS",Climate-Reregulation-Tracker
Federal Agencies Consider Incorporating Climate Impacts and Risks in Procurement Decisions,2021,USA,<p>The Federal Acquisition Regulatory Council published an advance notice of proposed rulemaking to consider ways to minimize the risk of climate change in major federal agency procurements.</p>,https://climate.law.columbia.edu/content/federal-agencies-consider-incorporating-climate-impacts-and-risks-procurement-decisions,National,Advance Notice of Proposed Rulemaking,"DOD,GSA,NASA",Climate-Reregulation-Tracker
DOL Proposes Removing Trump-Era Barriers to Consideration of Climate Change When Managing Pensions and Retirement Savings,2021,USA,"<p>The Department of Labor published a proposed rule under the Employee Retirement Income Security Act that would allow fiduciaries to consider climate change, along with other environmental, social, and governance factors, when they select investments and exercise shareholder rights.</p>",https://climate.law.columbia.edu/content/dol-proposes-removing-trump-era-barriers-consideration-climate-change-when-managing,National,Proposed Rule,"DoL,EBSA",Climate-Reregulation-Tracker
"The White House Publishes its ""Roadmap to Build a Climate Resilient Economy""",2021,USA,"<p>The White House published a new report, titled <em>A Roadmap to Build a Climate Resilient Economy</em>, which details the administration’s climate risk accountability framework and its implementation strategy to address climate-related financial risk.</p>",https://climate.law.columbia.edu/content/white-house-publishes-its-roadmap-build-climate-resilient-economy,National,Report,White House,Climate-Reregulation-Tracker
DHS Releases its Climate Change Strategic Plan,2021,USA,"<p>The Department of Homeland Security released its&nbsp;<em>Strategic Framework for Addressing Climate Change</em>, which will guide how the Department will work to combat climate change.</p>",https://climate.law.columbia.edu/content/dhs-releases-its-climate-change-strategic-plan,National,Strategic Plan,DHS,Climate-Reregulation-Tracker
OSHA Initiates Rulemaking Process for Workplace Heat Protections,2021,USA,<p>The Occupational Safety and Health Administration published an advance notice of proposed rulemaking on heat injury and illness prevention in outdoor and indoor work settings.</p>,https://climate.law.columbia.edu/content/osha-initiates-rulemaking-process-workplace-heat-protections,National,Advance Notice of Proposed Rulemaking,OSHA,Climate-Reregulation-Tracker
EPA Proposes Methane Emissions Controls for Oil and Gas Sources,2021,USA,<p>The Environmental Protection Agency proposed a suite of regulations to control methane emissions from the oil and gas sector under the Clean Air Act.</p>,https://climate.law.columbia.edu/content/epa-proposes-methane-emissions-controls-oil-and-gas-sources,National,Proposed Rule,EPA,Climate-Reregulation-Tracker
PHMSA Extends Federal Pipeline Safety Requirements to All Onshore Gas Gathering Pipelines,2021,USA,<p>The Pipeline and Hazardous Materials Safety Administration published a final rule that revises the Federal Pipeline Safety Regulations to extend reporting and safety requirements to onshore gas gathering pipelines.</p>,https://climate.law.columbia.edu/content/phmsa-extends-federal-pipeline-safety-requirements-all-onshore-gas-gathering-pipelines,National,Final rule,PHMSA,Climate-Reregulation-Tracker
PHMSA Considers Suspending Trump-Era Authorization of LNG Transport by Rail,2021,USA,<p>The Pipeline and Hazardous Materials Safety Administration proposed to amend the Hazardous Materials Regulations to suspend authorization of liquefied natural gas transportation in rail tank cars.</p>,https://climate.law.columbia.edu/content/phmsa-considers-suspending-trump-era-authorization-lng-transport-rail,National,Proposed Rule,PHMSA,Climate-Reregulation-Tracker
FAA Releases Its Aviation Climate Action Plan,2021,USA,"<p>The Federal Aviation Administration published its&nbsp;Aviation Climate Action Plan, outlining initiatives to mitigate greenhouse gas emissions throughout the U.S. aviation sector.&nbsp;</p>",https://climate.law.columbia.edu/content/faa-releases-its-aviation-climate-action-plan,National,Strategic Plan,FAA,Climate-Reregulation-Tracker
President Biden Signs Executive Order Directing Implementation of the Infrastructure Investment and Jobs Act,2021,USA,"<p>President Biden signed Executive Order 14052 (""Implementation of the Infrastructure Investment and Jobs Act""), which includes implementation priorities relevant to climate resilience and environmental justice.</p>",https://climate.law.columbia.edu/content/president-biden-signs-executive-order-directing-implementation-infrastructure-investment,National,Executive Order,White House,Climate-Reregulation-Tracker
BLM Announces Review of Land Use Plans that Allow Drilling and Mining in Sage-Grouse Habitat ,2021,USA,<p>The Bureau of Land Management published a notice of intent to review land use plans for sage-grouse habitat after finding the current plans to be potentially inconsistent with climate science.</p>,https://climate.law.columbia.edu/content/blm-announces-review-land-use-plans-allow-drilling-and-mining-sage-grouse-habitat,National,Notice,BLM,Climate-Reregulation-Tracker
DOE Rolls Back Trump-Era Roadblocks to New Energy Efficiency Standards,2021,USA,<p>The Department of Energy published a final rule reversing the previous administration’s efforts to create hurdles in setting energy efficiency standards. &nbsp;</p>,https://climate.law.columbia.edu/content/doe-rolls-back-trump-era-roadblocks-new-energy-efficiency-standards,National,Final rule,DOE,Climate-Reregulation-Tracker
Federal Highway Administration Begins Developing Guidance for Deploying Electric Vehicle Charging Infrastructure ,2021,USA,<p>The Federal Highway Administration published a request for information to assist its development of guidance for deploying electric vehicle charging infrastructure.</p>,https://climate.law.columbia.edu/content/federal-highway-administration-begins-developing-guidance-deploying-electric-vehicle,National,Request for Information,FHWA,Climate-Reregulation-Tracker
White House Office of Science and Technology Announces New Climate-Focused Division,2021,USA,<p>The White House Office of Science and Technology announced the launch of its new Energy Division to develop national clean energy innovation plans.</p>,https://climate.law.columbia.edu/content/white-house-office-science-and-technology-announces-new-climate-focused-division,National,White House Announcement,White House,Climate-Reregulation-Tracker
DOI Publishes Review of the Federal Oil and Gas Leasing Program,2021,USA,"<p>The Department of Interior published its Report on the Federal Oil and Gas Leasing Program, outlining deficiencies in the current program and identifying recommendations to modernize it.</p>",https://climate.law.columbia.edu/content/doi-publishes-review-federal-oil-and-gas-leasing-program,National,Report,DOI,Climate-Reregulation-Tracker
EPA and ACOE Propose a Definition of “Waters of the United States” That Is Adaptive to Climate Change,2021,USA,"<p>The Environmental Protection Agency and Army Corps of Engineers proposed a revised definition of ""waters of the United States” that allows for consideration of the effects of climate change on water resources when determining federal jurisdiction under the Clean Water Act.</p>",https://climate.law.columbia.edu/content/epa-and-acoe-propose-definition-waters-united-states-adaptive-climate-change,National,Proposed Rule,"EPA,ACOE",Climate-Reregulation-Tracker
DOE Reverses Trump-Era Rule Waiver Rule,2021,USA,<p>The Department of Energy finalized a rule reversing a 2020 regulation that had allowed appliance manufacturers to more easily secure interim waivers from energy efficiency testing procedures.</p>,https://climate.law.columbia.edu/content/doe-reverses-trump-era-rule-waiver-rule,National,Final rule,DOE,Climate-Reregulation-Tracker
DOE Proposes New Energy Efficiency Standard for Light Bulbs,2021,USA,"<p>DOE publishes a proposed rule that would require general service lamps, or common light bulbs, to meet a minimum efficiency of 45 lumens per watt.<strong> </strong></p>",https://climate.law.columbia.edu/content/doe-proposes-new-energy-efficiency-standard-light-bulbs,National,Proposed Rule,DOE,Climate-Reregulation-Tracker
